INTERVAL_START,split,logid,acdcalls,acdtime,holdtime,acwtime
20250618T0800,44,30128,8,425,78,193
20250618T0800,44,30143,7,372,69,169
20250618T0800,44,30157,5,266,49,120
20250618T0800,13,30201,7,371,67,158
20250618T0800,13,30215,5,303,55,129
20250618T0830,44,30128,15,1091,111,355
20250618T0830,44,30143,13,955,97,311
20250618T0830,44,30157,10,682,70,222
20250618T0830,13,30201,10,618,56,245
20250618T0830,13,30215,8,506,46,201
20250618T0900,44,30128,21,1059,120,484
20250618T0900,44,30143,18,926,105,423
20250618T0900,44,30157,13,662,75,302
20250618T0900,13,30201,8,452,56,199
20250618T0900,13,30215,7,369,45,162
20250618T0930,44,30128,22,1448,142,484
20250618T0930,44,30143,20,1267,124,424
20250618T0930,44,30157,14,905,89,303
20250618T0930,13,30201,12,753,98,197
20250618T0930,13,30215,10,616,81,161
20250618T1000,44,30128,21,1136,232,499
20250618T1000,44,30143,18,994,203,437
20250618T1000,44,30157,13,710,145,312
20250618T1000,13,30201,12,730,84,293
20250618T1000,13,30215,10,598,69,240
20250618T1030,44,30128,23,1196,60,471
20250618T1030,44,30143,20,1046,52,412
20250618T1030,44,30157,14,748,38,294
20250618T1030,13,30201,13,829,75,356
20250618T1030,13,30215,11,679,62,292
20250618T1100,44,30128,22,1305,13,643
20250618T1100,44,30143,19,1142,12,562
20250618T1100,44,30157,14,816,8,402
20250618T1100,13,30201,12,782,123,414
20250618T1100,13,30215,9,640,100,338
20250618T1130,44,30128,24,1133,194,700
20250618T1130,44,30143,21,992,169,612
20250618T1130,44,30157,15,708,121,437
20250618T1130,13,30201,10,575,112,271
20250618T1130,13,30215,9,471,92,221
20250618T1200,44,30128,17,862,217,515
20250618T1200,44,30143,15,755,190,450
20250618T1200,44,30157,11,539,136,322
20250618T1200,13,30201,7,481,55,222
20250618T1200,13,30215,6,394,45,182
20250618T1230,44,30128,16,905,86,514
20250618T1230,44,30143,14,792,76,450
20250618T1230,44,30157,10,566,54,321
20250618T1230,13,30201,8,548,53,183
20250618T1230,13,30215,6,448,44,150
20250618T1300,44,30128,17,1070,230,592
20250618T1300,44,30143,15,937,201,518
20250618T1300,44,30157,11,669,144,370
20250618T1300,13,30201,9,530,40,279
20250618T1300,13,30215,7,433,33,228
20250618T1330,44,30128,21,1168,157,566
20250618T1330,44,30143,18,1022,137,495
20250618T1330,44,30157,13,730,98,354
20250618T1330,13,30201,10,588,58,261
20250618T1330,13,30215,9,481,47,213
20250618T1400,44,30128,22,1397,230,632
20250618T1400,44,30143,19,1222,201,553
20250618T1400,44,30157,14,873,144,395
20250618T1400,13,30201,13,733,163,252
20250618T1400,13,30215,10,599,134,207
20250618T1430,44,30128,21,1325,210,432
20250618T1430,44,30143,19,1159,184,378
20250618T1430,44,30157,13,828,131,270
20250618T1430,13,30201,12,721,164,235
20250618T1430,13,30215,10,590,134,192
20250618T1500,44,30128,20,1267,294,614
20250618T1500,44,30143,17,1108,257,537
20250618T1500,44,30157,12,792,184,384
20250618T1500,13,30201,10,708,67,327
20250618T1500,13,30215,9,580,55,267
20250618T1530,44,30128,16,1012,94,361
20250618T1530,44,30143,14,885,82,316
20250618T1530,44,30157,10,632,58,226
20250618T1530,13,30201,10,536,20,242
20250618T1530,13,30215,8,438,16,198
20250618T1600,44,30128,12,725,83,199
20250618T1600,44,30143,11,635,72,174
20250618T1600,44,30157,8,453,52,124
20250618T1600,13,30201,9,575,18,245
20250618T1600,13,30215,8,470,15,200
20250618T1630,44,30128,10,501,111,227
20250618T1630,44,30143,9,438,97,198
20250618T1630,44,30157,6,313,69,142
20250618T1630,13,30201,8,449,0,153
20250618T1630,13,30215,7,368,0,125
20250618T1700,44,30128,7,481,67,217
20250618T1700,44,30143,6,421,58,190
20250618T1700,44,30157,4,301,42,136
20250618T1700,13,30201,6,414,60,195
20250618T1700,13,30215,5,338,49,160
20250618T1730,44,30128,4,259,31,106
20250618T1730,44,30143,4,226,27,93
20250618T1730,44,30157,3,162,20,66
20250618T1730,13,30201,4,238,28,79
20250618T1730,13,30215,3,195,22,65
