INTERVAL_START,logid,da_acdcalls,da_acdtime,i_availtime,ti_auxtime,o_acdcalls,o_acdtime,i_stafftime
20250618T0800,30128,8,425,1252,123,0,0,1800
20250618T0800,30143,7,372,1355,73,0,0,1800
20250618T0800,30157,5,266,1476,58,0,0,1800
20250618T0800,30201,7,371,1338,91,0,0,1800
20250618T0800,30215,5,303,1398,99,0,0,1800
20250618T0830,30128,15,1091,649,60,0,0,1800
20250618T0830,30143,13,955,746,99,0,0,1800
20250618T0830,30157,10,682,1016,102,0,0,1800
20250618T0830,30201,10,618,1085,97,0,0,1800
20250618T0830,30215,8,506,1203,91,0,0,1800
20250618T0900,30128,21,1059,631,110,0,0,1800
20250618T0900,30143,18,926,800,74,0,0,1800
20250618T0900,30157,13,662,1034,104,0,0,1800
20250618T0900,30201,8,452,1252,96,0,0,1800
20250618T0900,30215,7,369,1339,92,0,0,1800
20250618T0930,30128,22,1448,276,76,0,0,1800
20250618T0930,30143,20,1267,440,93,0,0,1800
20250618T0930,30157,14,905,823,72,0,0,1800
20250618T0930,30201,12,753,934,113,0,0,1800
20250618T0930,30215,10,616,1068,116,0,0,1800
20250618T1000,30128,21,1136,530,134,0,0,1800
20250618T1000,30143,18,994,704,102,0,0,1800
20250618T1000,30157,13,710,984,106,0,0,1800
20250618T1000,30201,12,730,979,91,0,0,1800
20250618T1000,30215,10,598,1104,98,0,0,1800
20250618T1030,30128,23,1196,520,84,0,0,1800
20250618T1030,30143,20,1046,703,51,0,0,1800
20250618T1030,30157,14,748,953,99,0,0,1800
20250618T1030,30201,13,829,883,88,0,0,1800
20250618T1030,30215,11,679,1037,84,0,0,1800
20250618T1100,30128,22,1305,431,64,0,0,1800
20250618T1100,30143,19,1142,538,120,0,0,1800
20250618T1100,30157,14,816,885,99,0,0,1800
20250618T1100,30201,12,782,967,51,0,0,1800
20250618T1100,30215,9,640,1077,83,0,0,1800
20250618T1130,30128,24,1133,588,79,0,0,1800
20250618T1130,30143,21,992,753,55,0,0,1800
20250618T1130,30157,15,708,1000,92,0,0,1800
20250618T1130,30201,10,575,1159,66,0,0,1800
20250618T1130,30215,9,471,1203,126,0,0,1800
20250618T1200,30128,17,862,837,101,0,0,1800
20250618T1200,30143,15,755,944,101,0,0,1800
20250618T1200,30157,11,539,1171,90,0,0,1800
20250618T1200,30201,7,481,1223,96,0,0,1800
20250618T1200,30215,6,394,1310,96,0,0,1800
20250618T1230,30128,16,905,772,123,0,0,1800
20250618T1230,30143,14,792,931,77,0,0,1800
20250618T1230,30157,10,566,1140,94,0,0,1800
20250618T1230,30201,8,548,1172,80,0,0,1800
20250618T1230,30215,6,448,1261,91,0,0,1800
20250618T1300,30128,17,1070,626,104,0,0,1800
20250618T1300,30143,15,937,770,93,0,0,1800
20250618T1300,30157,11,669,1051,80,0,0,1800
20250618T1300,30201,9,530,1168,102,0,0,1800
20250618T1300,30215,7,433,1271,96,0,0,1800
20250618T1330,30128,21,1168,558,74,0,0,1800
20250618T1330,30143,18,1022,692,86,0,0,1800
20250618T1330,30157,13,730,995,75,0,0,1800
20250618T1330,30201,10,588,1122,90,0,0,1800
20250618T1330,30215,9,481,1211,108,0,0,1800
20250618T1400,30128,22,1397,310,93,0,0,1800
20250618T1400,30143,19,1222,516,62,0,0,1800
20250618T1400,30157,14,873,806,121,0,0,1800
20250618T1400,30201,13,733,974,93,0,0,1800
20250618T1400,30215,10,599,1107,94,0,0,1800
20250618T1430,30128,21,1325,373,102,0,0,1800
20250618T1430,30143,19,1159,546,95,0,0,1800
20250618T1430,30157,13,828,861,111,0,0,1800
20250618T1430,30201,12,721,978,101,0,0,1800
20250618T1430,30215,10,590,1114,96,0,0,1800
20250618T1500,30128,20,1267,438,95,0,0,1800
20250618T1500,30143,17,1108,580,112,0,0,1800
20250618T1500,30157,12,792,901,107,0,0,1800
20250618T1500,30201,10,708,988,104,0,0,1800
20250618T1500,30215,9,580,1095,125,0,0,1800
20250618T1530,30128,16,1012,698,90,0,0,1800
20250618T1530,30143,14,885,868,47,0,0,1800
20250618T1530,30157,10,632,1082,86,0,0,1800
20250618T1530,30201,10,536,1148,116,0,0,1800
20250618T1530,30215,8,438,1269,93,0,0,1800
20250618T1600,30128,12,725,974,101,0,0,1800
20250618T1600,30143,11,635,1048,117,0,0,1800
20250618T1600,30157,8,453,1239,108,0,0,1800
20250618T1600,30201,9,575,1147,78,0,0,1800
20250618T1600,30215,8,470,1223,107,0,0,1800
20250618T1630,30128,10,501,1234,65,0,0,1800
20250618T1630,30143,9,438,1280,82,0,0,1800
20250618T1630,30157,6,313,1392,95,0,0,1800
20250618T1630,30201,8,449,1263,88,0,0,1800
20250618T1630,30215,7,368,1347,85,0,0,1800
20250618T1700,30128,7,481,1220,99,0,0,1800
20250618T1700,30143,6,421,1218,161,0,0,1800
20250618T1700,30157,4,301,1445,54,0,0,1800
20250618T1700,30201,6,414,1303,83,0,0,1800
20250618T1700,30215,5,338,1361,101,0,0,1800
20250618T1730,30128,4,259,1446,95,0,0,1800
20250618T1730,30143,4,226,1495,79,0,0,1800
20250618T1730,30157,3,162,1576,62,0,0,1800
20250618T1730,30201,4,238,1485,77,0,0,1800
20250618T1730,30215,3,195,1467,138,0,0,1800
