INTERVAL_START,split,acdcalls,acceptable,abncalls,slvlabns,acdtime,holdtime,acwtime,anstime,contactsactive
20250618T0800,44,19,18,1,1,1063,196,482,165,0
20250618T0800,13,12,11,0,0,674,122,287,111,0
20250618T0830,44,38,35,0,0,2728,278,888,323,0
20250618T0830,13,18,17,0,0,1124,102,446,152,0
20250618T0900,44,52,47,0,0,2647,301,1209,591,0
20250618T0900,13,15,14,0,0,821,101,361,139,0
20250618T0930,44,56,51,0,0,3620,355,1211,356,0
20250618T0930,13,22,20,0,0,1369,179,358,115,0
20250618T1000,44,52,47,0,0,2841,580,1248,529,0
20250618T1000,13,22,20,0,0,1328,153,533,251,0
20250618T1030,44,57,52,0,0,2990,150,1177,188,0
20250618T1030,13,24,22,0,0,1508,137,648,128,0
20250618T1100,44,55,50,0,0,3263,33,1607,309,0
20250618T1100,13,21,19,1,1,1422,223,752,225,0
20250618T1130,44,59,54,0,0,2833,484,1749,547,0
20250618T1130,13,19,18,1,1,1046,204,492,218,0
20250618T1200,44,43,39,1,1,2156,542,1287,407,0
20250618T1200,13,13,12,0,0,875,100,404,52,0
20250618T1230,44,40,36,1,1,2263,216,1285,233,0
20250618T1230,13,14,13,0,0,996,97,333,188,0
20250618T1300,44,43,39,0,0,2676,574,1479,379,0
20250618T1300,13,16,15,0,0,963,73,507,109,0
20250618T1330,44,52,47,0,0,2919,392,1415,342,0
20250618T1330,13,19,18,0,0,1069,105,474,263,0
20250618T1400,44,55,50,2,1,3492,574,1581,329,0
20250618T1400,13,23,21,0,0,1332,297,459,138,0
20250618T1430,44,53,48,1,1,3312,525,1079,504,0
20250618T1430,13,22,20,1,1,1311,298,427,177,0
20250618T1500,44,49,45,0,0,3167,734,1535,322,0
20250618T1500,13,19,18,0,0,1288,122,594,168,0
20250618T1530,44,40,36,0,0,2529,234,902,333,0
20250618T1530,13,18,17,1,1,974,36,440,121,0
20250618T1600,44,31,28,0,0,1813,207,497,285,0
20250618T1600,13,17,16,0,0,1045,33,445,139,0
20250618T1630,44,25,23,0,0,1252,277,567,78,0
20250618T1630,13,15,14,0,0,817,0,278,142,0
20250618T1700,44,18,17,0,0,1203,167,543,168,0
20250618T1700,13,11,10,0,0,752,109,355,85,0
20250618T1730,44,11,10,0,0,647,78,266,68,0
20250618T1730,13,7,7,0,0,433,50,144,44,0
