INTERVAL_START,split,logid,acdcalls,acdtime,holdtime,acwtime
20250701T0800,44,30128,10,772,88,163
20250701T0800,44,30143,8,676,77,143
20250701T0800,44,30157,6,482,55,102
20250701T0800,13,30201,6,351,70,130
20250701T0800,13,30215,5,287,57,106
20250701T0830,44,30128,15,1085,108,260
20250701T0830,44,30143,13,949,94,228
20250701T0830,44,30157,10,678,68,163
20250701T0830,13,30201,9,683,68,263
20250701T0830,13,30215,8,559,55,216
20250701T0900,44,30128,19,1575,162,486
20250701T0900,44,30143,17,1378,141,425
20250701T0900,44,30157,12,984,101,304
20250701T0900,13,30201,11,625,47,283
20250701T0900,13,30215,9,512,39,232
20250701T0930,44,30128,22,1115,158,649
20250701T0930,44,30143,19,976,139,568
20250701T0930,44,30157,14,697,99,406
20250701T0930,13,30201,11,740,68,275
20250701T0930,13,30215,9,606,56,225
20250701T1000,44,30128,21,1363,211,519
20250701T1000,44,30143,19,1192,184,454
20250701T1000,44,30157,13,852,132,324
20250701T1000,13,30201,13,646,177,345
20250701T1000,13,30215,10,529,145,282
20250701T1030,44,30128,21,1002,106,523
20250701T1030,44,30143,19,876,92,457
20250701T1030,44,30157,13,626,66,327
20250701T1030,13,30201,10,603,75,242
20250701T1030,13,30215,9,493,62,198
20250701T1100,44,30128,22,1192,7,713
20250701T1100,44,30143,20,1043,6,624
20250701T1100,44,30157,14,745,4,446
20250701T1100,13,30201,13,975,109,413
20250701T1100,13,30215,11,798,90,338
20250701T1130,44,30128,20,1224,199,584
20250701T1130,44,30143,18,1071,174,511
20250701T1130,44,30157,13,765,124,365
20250701T1130,13,30201,10,674,103,265
20250701T1130,13,30215,8,552,85,216
20250701T1200,44,30128,20,1561,160,596
20250701T1200,44,30143,18,1366,140,521
20250701T1200,44,30157,12,976,100,372
20250701T1200,13,30201,8,321,64,183
20250701T1200,13,30215,6,262,52,150
20250701T1230,44,30128,14,1088,37,298
20250701T1230,44,30143,13,952,33,261
20250701T1230,44,30157,9,680,23,186
20250701T1230,13,30201,8,607,47,160
20250701T1230,13,30215,7,496,38,131
20250701T1300,44,30128,20,1054,154,371
20250701T1300,44,30143,17,922,135,325
20250701T1300,44,30157,12,658,96,232
20250701T1300,13,30201,8,558,113,157
20250701T1300,13,30215,7,457,93,129
20250701T1330,44,30128,21,1364,28,422
20250701T1330,44,30143,19,1194,24,370
20250701T1330,44,30157,13,853,18,264
20250701T1330,13,30201,10,706,78,274
20250701T1330,13,30215,8,577,63,224
20250701T1400,44,30128,25,1458,259,560
20250701T1400,44,30143,22,1275,226,490
20250701T1400,44,30157,16,911,162,350
20250701T1400,13,30201,13,768,80,236
20250701T1400,13,30215,10,629,65,193
20250701T1430,44,30128,17,945,150,451
20250701T1430,44,30143,15,827,131,394
20250701T1430,44,30157,11,590,94,282
20250701T1430,13,30201,13,743,32,290
20250701T1430,13,30215,10,608,26,238
20250701T1500,44,30128,18,1142,139,532
20250701T1500,44,30143,15,999,122,465
20250701T1500,44,30157,11,714,87,332
20250701T1500,13,30201,10,548,24,293
20250701T1500,13,30215,8,448,19,239
20250701T1530,44,30128,18,1184,88,342
20250701T1530,44,30143,16,1036,77,300
20250701T1530,44,30157,11,740,55,214
20250701T1530,13,30201,10,408,69,256
20250701T1530,13,30215,8,334,57,210
20250701T1600,44,30128,15,796,109,419
20250701T1600,44,30143,13,696,95,367
20250701T1600,44,30157,9,497,68,262
20250701T1600,13,30201,9,531,86,241
20250701T1600,13,30215,8,434,71,198
20250701T1630,44,30128,9,616,65,269
20250701T1630,44,30143,8,539,57,235
20250701T1630,44,30157,6,385,40,168
20250701T1630,13,30201,8,469,35,147
20250701T1630,13,30215,6,383,29,121
20250701T1700,44,30128,6,294,54,82
20250701T1700,44,30143,5,257,47,72
20250701T1700,44,30157,4,184,34,52
20250701T1700,13,30201,6,329,62,161
20250701T1700,13,30215,5,270,50,132
20250701T1730,44,30128,4,243,37,90
20250701T1730,44,30143,4,213,32,79
20250701T1730,44,30157,3,152,23,56
20250701T1730,13,30201,4,252,28,99
20250701T1730,13,30215,3,206,23,81
