INTERVAL_START,split,acdcalls,acceptable,abncalls,slvlabns,acdtime,holdtime,acwtime,anstime,contactsactive
20250701T0800,44,24,22,0,0,1930,221,408,154,0
20250701T0800,13,11,10,0,0,638,127,236,95,0
20250701T0830,44,38,35,1,1,2712,270,651,246,0
20250701T0830,13,17,16,0,0,1242,123,479,103,0
20250701T0900,44,48,44,0,0,3938,404,1215,461,0
20250701T0900,13,20,18,0,0,1137,86,515,140,0
20250701T0930,44,55,50,2,1,2788,396,1623,569,0
20250701T0930,13,20,18,0,0,1346,124,500,165,0
20250701T1000,44,53,48,0,0,3407,527,1297,414,0
20250701T1000,13,23,21,0,0,1175,322,627,250,0
20250701T1030,44,53,48,0,0,2504,264,1307,342,0
20250701T1030,13,19,18,0,0,1096,137,440,167,0
20250701T1100,44,56,51,2,1,2979,17,1782,508,0
20250701T1100,13,24,22,1,1,1773,199,750,186,0
20250701T1130,44,51,46,1,1,3061,498,1460,280,0
20250701T1130,13,18,17,0,0,1226,188,481,116,0
20250701T1200,44,50,45,1,1,3903,399,1489,403,0
20250701T1200,13,14,13,1,1,583,116,333,120,0
20250701T1230,44,36,33,1,1,2721,93,745,317,0
20250701T1230,13,15,14,0,0,1103,85,291,132,0
20250701T1300,44,49,45,0,0,2634,386,928,428,0
20250701T1300,13,15,14,0,0,1015,206,286,101,0
20250701T1330,44,53,48,0,0,3411,70,1056,393,0
20250701T1330,13,18,17,1,1,1283,141,498,128,0
20250701T1400,44,62,56,3,1,3644,647,1400,420,0
20250701T1400,13,23,21,0,0,1397,145,429,108,0
20250701T1430,44,43,39,1,1,2362,374,1127,487,0
20250701T1430,13,23,21,0,0,1351,58,528,144,0
20250701T1500,44,44,40,1,1,2854,348,1329,215,0
20250701T1500,13,18,17,1,1,996,43,532,122,0
20250701T1530,44,45,41,2,1,2959,220,856,282,0
20250701T1530,13,18,17,0,0,742,126,466,153,0
20250701T1600,44,37,34,0,0,1989,272,1048,241,0
20250701T1600,13,17,16,0,0,965,157,439,90,0
20250701T1630,44,23,21,0,0,1541,162,672,91,0
20250701T1630,13,14,13,1,1,852,64,268,143,0
20250701T1700,44,15,14,0,0,735,135,206,101,0
20250701T1700,13,11,10,0,0,599,112,293,48,0
20250701T1730,44,11,10,0,0,608,92,226,125,0
20250701T1730,13,7,7,0,0,458,51,180,60,0
