INTERVAL_START,split,logid,acdcalls,acdtime,holdtime,acwtime
20250626T0800,44,30128,8,414,84,208
20250626T0800,44,30143,7,363,74,182
20250626T0800,44,30157,5,259,52,130
20250626T0800,13,30201,7,384,65,119
20250626T0800,13,30215,5,314,53,98
20250626T0830,44,30128,14,978,152,291
20250626T0830,44,30143,12,855,133,255
20250626T0830,44,30157,8,611,95,182
20250626T0830,13,30201,10,767,29,252
20250626T0830,13,30215,8,628,24,206
20250626T0900,44,30128,22,1298,75,680
20250626T0900,44,30143,19,1135,65,595
20250626T0900,44,30157,14,811,47,425
20250626T0900,13,30201,10,613,77,250
20250626T0900,13,30215,8,502,63,205
20250626T0930,44,30128,20,1186,120,519
20250626T0930,44,30143,18,1038,105,454
20250626T0930,44,30157,12,742,75,324
20250626T0930,13,30201,13,854,68,437
20250626T0930,13,30215,11,698,56,357
20250626T1000,44,30128,24,1605,162,687
20250626T1000,44,30143,21,1404,142,601
20250626T1000,44,30157,15,1003,101,429
20250626T1000,13,30201,13,488,63,260
20250626T1000,13,30215,10,399,52,212
20250626T1030,44,30128,20,1140,189,596
20250626T1030,44,30143,18,998,166,522
20250626T1030,44,30157,12,713,118,372
20250626T1030,13,30201,13,565,81,279
20250626T1030,13,30215,10,462,67,228
20250626T1100,44,30128,27,1409,134,859
20250626T1100,44,30143,23,1233,117,751
20250626T1100,44,30157,17,880,84,537
20250626T1100,13,30201,10,669,70,251
20250626T1100,13,30215,8,547,57,206
20250626T1130,44,30128,20,1068,220,629
20250626T1130,44,30143,18,934,193,550
20250626T1130,44,30157,13,668,138,393
20250626T1130,13,30201,11,553,92,364
20250626T1130,13,30215,9,452,75,297
20250626T1200,44,30128,16,944,42,331
20250626T1200,44,30143,14,826,36,290
20250626T1200,44,30157,10,590,26,207
20250626T1200,13,30201,8,483,49,203
20250626T1200,13,30215,6,395,40,166
20250626T1230,44,30128,14,739,21,410
20250626T1230,44,30143,12,647,19,358
20250626T1230,44,30157,8,462,13,256
20250626T1230,13,30201,8,380,68,148
20250626T1230,13,30215,6,310,55,122
20250626T1300,44,30128,20,1150,216,545
20250626T1300,44,30143,17,1006,189,477
20250626T1300,44,30157,12,718,135,341
20250626T1300,13,30201,9,624,35,284
20250626T1300,13,30215,8,510,29,233
20250626T1330,44,30128,19,983,131,596
20250626T1330,44,30143,16,860,114,522
20250626T1330,44,30157,12,614,82,373
20250626T1330,13,30201,10,659,90,268
20250626T1330,13,30215,8,540,74,220
20250626T1400,44,30128,21,1303,268,524
20250626T1400,44,30143,18,1140,235,458
20250626T1400,44,30157,13,814,168,328
20250626T1400,13,30201,14,579,54,494
20250626T1400,13,30215,11,474,44,404
20250626T1430,44,30128,20,1539,119,509
20250626T1430,44,30143,18,1347,104,446
20250626T1430,44,30157,13,962,74,318
20250626T1430,13,30201,13,753,112,333
20250626T1430,13,30215,10,616,92,272
20250626T1500,44,30128,18,974,136,449
20250626T1500,44,30143,15,852,119,393
20250626T1500,44,30157,11,609,85,281
20250626T1500,13,30201,11,741,131,312
20250626T1500,13,30215,9,607,108,255
20250626T1530,44,30128,16,677,51,564
20250626T1530,44,30143,14,592,45,493
20250626T1530,44,30157,10,423,32,352
20250626T1530,13,30201,11,592,46,340
20250626T1530,13,30215,9,484,38,278
20250626T1600,44,30128,13,813,73,254
20250626T1600,44,30143,12,711,64,222
20250626T1600,44,30157,8,508,46,159
20250626T1600,13,30201,9,480,75,174
20250626T1600,13,30215,7,393,61,143
20250626T1630,44,30128,10,759,64,189
20250626T1630,44,30143,9,664,56,166
20250626T1630,44,30157,6,474,40,118
20250626T1630,13,30201,8,568,57,247
20250626T1630,13,30215,6,465,47,202
20250626T1700,44,30128,8,428,53,183
20250626T1700,44,30143,7,374,47,160
20250626T1700,44,30157,5,267,33,114
20250626T1700,13,30201,6,311,6,180
20250626T1700,13,30215,5,255,5,148
20250626T1730,44,30128,4,264,12,94
20250626T1730,44,30143,3,231,11,82
20250626T1730,44,30157,2,165,8,59
20250626T1730,13,30201,3,241,13,73
20250626T1730,13,30215,3,198,11,59
