INTERVAL_START,split,acdcalls,acceptable,abncalls,slvlabns,acdtime,holdtime,acwtime,anstime,contactsactive
20250626T0800,44,20,18,1,1,1036,210,519,192,0
20250626T0800,13,12,11,0,0,698,118,217,100,0
20250626T0830,44,34,31,0,0,2444,380,728,257,0
20250626T0830,13,18,17,0,0,1395,53,458,165,0
20250626T0900,44,54,49,0,0,3244,187,1700,500,0
20250626T0900,13,18,17,0,0,1115,140,455,141,0
20250626T0930,44,50,45,0,0,2966,300,1298,249,0
20250626T0930,13,24,22,1,1,1552,124,794,238,0
20250626T1000,44,59,54,1,1,4012,405,1717,383,0
20250626T1000,13,23,21,0,0,887,115,472,150,0
20250626T1030,44,50,45,0,0,2851,473,1490,527,0
20250626T1030,13,23,21,0,0,1027,148,507,128,0
20250626T1100,44,67,61,0,0,3522,334,2147,615,0
20250626T1100,13,18,17,1,1,1216,127,457,203,0
20250626T1130,44,51,46,1,1,2670,551,1572,270,0
20250626T1130,13,20,18,1,1,1005,167,661,164,0
20250626T1200,44,41,37,0,0,2360,104,828,303,0
20250626T1200,13,14,13,0,0,878,89,369,118,0
20250626T1230,44,34,31,0,0,1848,53,1024,264,0
20250626T1230,13,14,13,1,1,690,123,270,131,0
20250626T1300,44,49,45,0,0,2874,541,1363,467,0
20250626T1300,13,17,16,0,0,1134,64,517,107,0
20250626T1330,44,47,43,0,0,2458,327,1491,476,0
20250626T1330,13,18,17,1,1,1199,164,488,151,0
20250626T1400,44,52,47,0,0,3258,671,1310,406,0
20250626T1400,13,25,23,0,0,1053,98,898,153,0
20250626T1430,44,51,46,0,0,3848,298,1273,424,0
20250626T1430,13,23,21,0,0,1369,204,605,248,0
20250626T1500,44,44,40,0,0,2435,339,1123,374,0
20250626T1500,13,20,18,1,1,1348,239,567,172,0
20250626T1530,44,41,37,1,1,1692,128,1410,349,0
20250626T1530,13,20,18,0,0,1076,84,618,160,0
20250626T1600,44,33,30,0,0,2032,183,635,229,0
20250626T1600,13,16,15,1,1,873,136,317,97,0
20250626T1630,44,25,23,1,1,1897,159,473,171,0
20250626T1630,13,14,13,0,0,1033,104,449,96,0
20250626T1700,44,19,18,0,0,1069,133,458,123,0
20250626T1700,13,11,10,0,0,566,11,328,83,0
20250626T1730,44,9,9,0,0,660,31,235,84,0
20250626T1730,13,6,6,0,0,439,24,132,40,0
