INTERVAL_START,split,acdcalls,acceptable,abncalls,slvlabns,acdtime,holdtime,acwtime,anstime,contactsactive
20250627T0800,44,17,16,0,0,978,41,410,164,0
20250627T0800,13,8,8,0,0,681,60,255,67,0
20250627T0830,44,36,33,1,1,2728,295,789,338,0
20250627T0830,13,14,13,1,1,528,191,470,114,0
20250627T0900,44,44,40,0,0,2462,431,1012,386,0
20250627T0900,13,18,17,1,1,1310,121,266,188,0
20250627T0930,44,46,42,2,1,2366,253,1089,445,0
20250627T0930,13,22,20,0,0,1045,275,408,132,0
20250627T1000,44,54,49,0,0,3463,670,1123,613,0
20250627T1000,13,21,19,0,0,1394,170,582,245,0
20250627T1030,44,55,50,2,1,3279,202,1883,323,0
20250627T1030,13,23,21,0,0,872,248,521,250,0
20250627T1100,44,50,45,2,1,2650,408,1299,294,0
20250627T1100,13,16,15,1,1,1143,127,450,149,0
20250627T1130,44,47,43,2,1,2920,270,1127,493,0
20250627T1130,13,16,15,0,0,1065,93,352,119,0
20250627T1200,44,40,36,0,0,1487,204,1264,273,0
20250627T1200,13,15,14,0,0,464,121,394,95,0
20250627T1230,44,37,34,0,0,2236,310,799,341,0
20250627T1230,13,11,10,0,0,690,88,302,103,0
20250627T1300,44,37,34,1,1,2722,100,704,308,0
20250627T1300,13,13,12,1,1,635,20,358,96,0
20250627T1330,44,47,43,0,0,1545,313,695,466,0
20250627T1330,13,17,16,0,0,1082,64,434,93,0
20250627T1400,44,48,44,0,0,2736,456,1054,365,0
20250627T1400,13,20,18,1,1,1766,131,492,187,0
20250627T1430,44,42,38,0,0,2344,465,857,344,0
20250627T1430,13,20,18,0,0,880,173,572,206,0
20250627T1500,44,33,30,0,0,1797,529,978,253,0
20250627T1500,13,19,18,0,0,921,147,340,221,0
20250627T1530,44,38,35,0,0,2762,276,1061,262,0
20250627T1530,13,20,18,0,0,1120,69,398,154,0
20250627T1600,44,30,27,0,0,1877,193,839,217,0
20250627T1600,13,13,12,0,0,906,116,258,96,0
20250627T1630,44,21,19,1,1,1213,204,478,146,0
20250627T1630,13,13,12,0,0,782,93,344,100,0
20250627T1700,44,19,18,0,0,1394,157,501,102,0
20250627T1700,13,11,10,0,0,886,60,301,93,0
20250627T1730,44,9,9,0,0,628,64,263,42,0
20250627T1730,13,6,6,0,0,249,75,161,52,0
