INTERVAL_START,split,acdcalls,acceptable,abncalls,slvlabns,acdtime,holdtime,acwtime,anstime,contactsactive
20250610T0800,44,18,17,0,0,728,139,388,113,0
20250610T0800,13,12,11,0,0,528,66,185,93,0
20250610T0830,44,31,28,0,0,1777,188,1004,300,0
20250610T0830,13,19,18,0,0,1178,207,522,156,0
20250610T0900,44,51,46,1,1,2513,601,1003,488,0
20250610T0900,13,21,19,0,0,912,232,668,161,0
20250610T0930,44,53,48,0,0,3801,522,974,463,0
20250610T0930,13,20,18,0,0,1145,169,608,202,0
20250610T1000,44,55,50,0,0,3436,439,1855,456,0
20250610T1000,13,21,19,1,1,1257,80,541,167,0
20250610T1030,44,59,54,2,1,2926,335,1254,491,0
20250610T1030,13,21,19,0,0,1153,185,703,198,0
20250610T1100,44,66,60,1,1,3351,77,1307,715,0
20250610T1100,13,21,19,0,0,1026,164,523,127,0
20250610T1130,44,47,43,1,1,3383,340,873,387,0
20250610T1130,13,19,18,0,0,1127,168,533,108,0
20250610T1200,44,43,39,0,0,2652,269,947,324,0
20250610T1200,13,15,14,0,0,827,164,357,132,0
20250610T1230,44,38,35,0,0,2075,235,1193,312,0
20250610T1230,13,14,13,0,0,771,140,427,133,0
20250610T1300,44,47,43,0,0,3148,319,1140,480,0
20250610T1300,13,15,14,1,1,787,100,418,89,0
20250610T1330,44,57,52,0,0,2807,464,1497,572,0
20250610T1330,13,22,20,0,0,1190,206,513,133,0
20250610T1400,44,55,50,2,1,3104,617,1545,570,0
20250610T1400,13,21,19,0,0,1625,0,525,205,0
20250610T1430,44,49,45,1,1,2919,436,1251,361,0
20250610T1430,13,22,20,1,1,1393,189,831,190,0
20250610T1500,44,50,45,0,0,2323,296,1011,255,0
20250610T1500,13,21,19,1,1,1148,203,486,162,0
20250610T1530,44,37,34,1,1,1950,193,1080,236,0
20250610T1530,13,20,18,0,0,1133,239,358,143,0
20250610T1600,44,33,30,1,1,2499,146,810,185,0
20250610T1600,13,19,18,0,0,912,207,420,118,0
20250610T1630,44,26,24,1,1,1570,227,624,248,0
20250610T1630,13,15,14,0,0,696,130,238,70,0
20250610T1700,44,23,21,0,0,1426,131,534,161,0
20250610T1700,13,10,9,0,0,554,56,239,95,0
20250610T1730,44,10,9,0,0,704,49,237,57,0
20250610T1730,13,7,7,0,0,449,94,179,56,0
