INTERVAL_START,logid,da_acdcalls,da_acdtime,i_availtime,ti_auxtime,o_acdcalls,o_acdtime,i_stafftime
20250610T0800,30128,7,291,1404,105,0,0,1800
20250610T0800,30143,6,255,1452,93,0,0,1800
20250610T0800,30157,4,182,1529,89,0,0,1800
20250610T0800,30201,7,290,1410,100,0,0,1800
20250610T0800,30215,5,238,1454,108,0,0,1800
20250610T0830,30128,12,711,997,92,0,0,1800
20250610T0830,30143,11,622,1083,95,0,0,1800
20250610T0830,30157,8,444,1292,64,0,0,1800
20250610T0830,30201,10,648,1061,91,0,0,1800
20250610T0830,30215,9,530,1170,100,0,0,1800
20250610T0900,30128,20,1005,692,103,0,0,1800
20250610T0900,30143,18,880,858,62,0,0,1800
20250610T0900,30157,13,628,1050,122,0,0,1800
20250610T0900,30201,12,502,1203,95,0,0,1800
20250610T0900,30215,9,410,1324,66,0,0,1800
20250610T0930,30128,21,1520,202,78,0,0,1800
20250610T0930,30143,19,1330,374,96,0,0,1800
20250610T0930,30157,13,950,755,95,0,0,1800
20250610T0930,30201,11,630,1110,60,0,0,1800
20250610T0930,30215,9,515,1165,120,0,0,1800
20250610T1000,30128,22,1374,331,95,0,0,1800
20250610T1000,30143,19,1203,507,90,0,0,1800
20250610T1000,30157,14,859,843,98,0,0,1800
20250610T1000,30201,12,691,1052,57,0,0,1800
20250610T1000,30215,9,566,1151,83,0,0,1800
20250610T1030,30128,24,1170,543,87,0,0,1800
20250610T1030,30143,21,1024,691,85,0,0,1800
20250610T1030,30157,15,732,966,102,0,0,1800
20250610T1030,30201,12,634,1084,82,0,0,1800
20250610T1030,30215,9,519,1198,83,0,0,1800
20250610T1100,30128,26,1340,363,97,0,0,1800
20250610T1100,30143,23,1173,563,64,0,0,1800
20250610T1100,30157,16,838,905,57,0,0,1800
20250610T1100,30201,12,564,1159,77,0,0,1800
20250610T1100,30215,9,462,1269,69,0,0,1800
20250610T1130,30128,19,1353,338,109,0,0,1800
20250610T1130,30143,16,1184,511,105,0,0,1800
20250610T1130,30157,12,846,849,105,0,0,1800
20250610T1130,30201,10,620,1097,83,0,0,1800
20250610T1130,30215,9,507,1183,110,0,0,1800
20250610T1200,30128,17,1061,634,105,0,0,1800
20250610T1200,30143,15,928,765,107,0,0,1800
20250610T1200,30157,11,663,1053,84,0,0,1800
20250610T1200,30201,8,455,1268,77,0,0,1800
20250610T1200,30215,7,372,1347,81,0,0,1800
20250610T1230,30128,15,830,858,112,0,0,1800
20250610T1230,30143,13,726,980,94,0,0,1800
20250610T1230,30157,10,519,1198,83,0,0,1800
20250610T1230,30201,8,424,1296,80,0,0,1800
20250610T1230,30215,6,347,1376,77,0,0,1800
20250610T1300,30128,19,1259,475,66,0,0,1800
20250610T1300,30143,16,1102,612,86,0,0,1800
20250610T1300,30157,12,787,930,83,0,0,1800
20250610T1300,30201,8,433,1242,125,0,0,1800
20250610T1300,30215,7,354,1362,84,0,0,1800
20250610T1330,30128,23,1123,598,79,0,0,1800
20250610T1330,30143,20,982,702,116,0,0,1800
20250610T1330,30157,14,702,1027,71,0,0,1800
20250610T1330,30201,12,654,1076,70,0,0,1800
20250610T1330,30215,10,536,1199,65,0,0,1800
20250610T1400,30128,22,1242,469,89,0,0,1800
20250610T1400,30143,19,1086,636,78,0,0,1800
20250610T1400,30157,14,776,951,73,0,0,1800
20250610T1400,30201,12,894,830,76,0,0,1800
20250610T1400,30215,9,731,987,82,0,0,1800
20250610T1430,30128,20,1168,557,75,0,0,1800
20250610T1430,30143,17,1022,716,62,0,0,1800
20250610T1430,30157,12,730,974,96,0,0,1800
20250610T1430,30201,12,766,950,84,0,0,1800
20250610T1430,30215,10,627,1109,64,0,0,1800
20250610T1500,30128,20,929,777,94,0,0,1800
20250610T1500,30143,18,813,913,74,0,0,1800
20250610T1500,30157,12,581,1109,110,0,0,1800
20250610T1500,30201,12,631,1104,65,0,0,1800
20250610T1500,30215,9,517,1166,117,0,0,1800
20250610T1530,30128,15,780,930,90,0,0,1800
20250610T1530,30143,13,682,1001,117,0,0,1800
20250610T1530,30157,9,488,1226,86,0,0,1800
20250610T1530,30201,11,623,1087,90,0,0,1800
20250610T1530,30215,9,510,1191,99,0,0,1800
20250610T1600,30128,13,1000,760,40,0,0,1800
20250610T1600,30143,12,875,868,57,0,0,1800
20250610T1600,30157,8,625,1092,83,0,0,1800
20250610T1600,30201,10,502,1252,46,0,0,1800
20250610T1600,30215,9,410,1276,114,0,0,1800
20250610T1630,30128,10,628,1077,95,0,0,1800
20250610T1630,30143,9,550,1129,121,0,0,1800
20250610T1630,30157,6,392,1304,104,0,0,1800
20250610T1630,30201,8,383,1342,75,0,0,1800
20250610T1630,30215,7,313,1383,104,0,0,1800
20250610T1700,30128,9,570,1141,89,0,0,1800
20250610T1700,30143,8,499,1237,64,0,0,1800
20250610T1700,30157,6,356,1377,67,0,0,1800
20250610T1700,30201,6,305,1379,116,0,0,1800
20250610T1700,30215,4,249,1482,69,0,0,1800
20250610T1730,30128,4,282,1353,165,0,0,1800
20250610T1730,30143,4,246,1444,110,0,0,1800
20250610T1730,30157,2,176,1508,116,0,0,1800
20250610T1730,30201,4,247,1468,85,0,0,1800
20250610T1730,30215,3,202,1473,125,0,0,1800
