INTERVAL_START,split,acdcalls,acceptable,abncalls,slvlabns,acdtime,holdtime,acwtime,anstime,contactsactive
20250617T0800,44,19,18,1,1,920,198,433,220,0
20250617T0800,13,11,10,0,0,658,3,230,84,0
20250617T0830,44,39,36,0,0,1917,446,1192,291,0
20250617T0830,13,17,16,0,0,1121,139,619,142,0
20250617T0900,44,53,48,1,1,3649,738,839,371,0
20250617T0900,13,19,18,0,0,908,115,521,102,0
20250617T0930,44,61,55,3,1,3738,332,1372,586,0
20250617T0930,13,24,22,1,1,1712,326,697,249,0
20250617T1000,44,59,54,0,0,4120,44,1591,288,0
20250617T1000,13,22,20,0,0,1352,153,556,175,0
20250617T1030,44,46,42,2,1,2866,509,993,469,0
20250617T1030,13,23,21,1,1,1520,237,426,115,0
20250617T1100,44,62,56,0,0,3455,465,1295,513,0
20250617T1100,13,18,17,1,1,1081,74,528,135,0
20250617T1130,44,53,48,1,1,2360,411,941,468,0
20250617T1130,13,20,18,0,0,1052,204,404,144,0
20250617T1200,44,37,34,2,1,2756,328,762,295,0
20250617T1200,13,15,14,0,0,725,139,431,125,0
20250617T1230,44,34,31,1,1,2612,290,1072,209,0
20250617T1230,13,12,11,0,0,855,100,272,113,0
20250617T1300,44,45,41,0,0,2179,484,902,351,0
20250617T1300,13,17,16,0,0,953,199,431,157,0
20250617T1330,44,51,46,2,1,3197,317,1022,628,0
20250617T1330,13,23,21,0,0,1489,112,353,146,0
20250617T1400,44,52,47,0,0,3348,726,1271,472,0
20250617T1400,13,23,21,0,0,1485,73,355,126,0
20250617T1430,44,58,53,2,1,4152,567,1740,654,0
20250617T1430,13,21,19,1,1,1132,313,510,188,0
20250617T1500,44,46,42,2,1,2452,202,1214,428,0
20250617T1500,13,23,21,0,0,1538,203,789,145,0
20250617T1530,44,42,38,0,0,3197,121,968,310,0
20250617T1530,13,19,18,0,0,959,166,517,149,0
20250617T1600,44,30,27,0,0,1760,297,654,260,0
20250617T1600,13,17,16,0,0,1412,167,440,175,0
20250617T1630,44,25,23,0,0,1221,306,523,196,0
20250617T1630,13,16,15,1,1,912,117,351,136,0
20250617T1700,44,22,20,0,0,1697,192,661,261,0
20250617T1700,13,10,9,0,0,491,81,255,96,0
20250617T1730,44,11,10,0,0,713,151,274,112,0
20250617T1730,13,6,6,0,0,319,32,136,59,0
