INTERVAL_START,split,acdcalls,acceptable,abncalls,slvlabns,acdtime,holdtime,acwtime,anstime,contactsactive
20250611T0800,44,18,17,0,0,1095,136,400,129,0
20250611T0800,13,11,10,0,0,909,85,303,94,0
20250611T0830,44,40,36,0,0,2577,431,945,375,0
20250611T0830,13,18,17,0,0,1122,235,467,140,0
20250611T0900,44,52,47,0,0,3098,246,1432,344,0
20250611T0900,13,22,20,0,0,1887,298,545,241,0
20250611T0930,44,54,49,0,0,3118,564,1430,353,0
20250611T0930,13,22,20,0,0,1347,166,519,154,0
20250611T1000,44,57,52,1,1,3228,740,1909,643,0
20250611T1000,13,21,19,1,1,1414,143,764,233,0
20250611T1030,44,54,49,2,1,3328,268,1281,467,0
20250611T1030,13,22,20,0,0,1184,291,389,226,0
20250611T1100,44,61,55,0,0,2780,548,1689,441,0
20250611T1100,13,21,19,1,1,1498,60,681,133,0
20250611T1130,44,48,44,0,0,3331,413,888,378,0
20250611T1130,13,20,18,0,0,738,162,298,110,0
20250611T1200,44,44,40,0,0,2437,290,1066,433,0
20250611T1200,13,16,15,0,0,1039,171,411,103,0
20250611T1230,44,35,32,2,1,2487,209,664,301,0
20250611T1230,13,14,13,0,0,674,55,299,118,0
20250611T1300,44,42,38,0,0,3109,335,823,575,0
20250611T1300,13,16,15,0,0,1014,121,340,98,0
20250611T1330,44,49,45,1,1,3326,435,850,196,0
20250611T1330,13,20,18,0,0,1203,129,647,181,0
20250611T1400,44,59,54,0,0,3011,277,2036,595,0
20250611T1400,13,22,20,1,1,1374,272,353,242,0
20250611T1430,44,50,45,2,1,2220,588,694,404,0
20250611T1430,13,23,21,0,0,1382,138,542,184,0
20250611T1500,44,49,45,0,0,2973,617,1130,529,0
20250611T1500,13,18,17,0,0,1288,169,579,237,0
20250611T1530,44,44,40,0,0,2879,545,738,312,0
20250611T1530,13,15,14,1,1,919,145,319,171,0
20250611T1600,44,34,31,0,0,1924,246,940,217,0
20250611T1600,13,20,18,0,0,1033,143,378,68,0
20250611T1630,44,24,22,0,0,1438,264,812,198,0
20250611T1630,13,11,10,0,0,598,111,237,63,0
20250611T1700,44,20,18,0,0,1429,132,523,191,0
20250611T1700,13,13,12,0,0,789,184,330,125,0
20250611T1730,44,9,9,0,0,628,83,183,56,0
20250611T1730,13,6,6,0,0,356,55,111,76,0
