INTERVAL_START,split,acdcalls,acceptable,abncalls,slvlabns,acdtime,holdtime,acwtime,anstime,contactsactive
20250630T0800,44,22,20,1,1,1067,111,501,124,0
20250630T0800,13,10,9,0,0,535,73,252,121,0
20250630T0830,44,34,31,1,1,1726,184,770,190,0
20250630T0830,13,19,18,1,1,1124,197,467,187,0
20250630T0900,44,47,43,0,0,2735,523,1011,311,0
20250630T0900,13,21,19,1,1,1410,181,575,171,0
20250630T0930,44,59,54,0,0,2710,241,647,416,0
20250630T0930,13,26,24,0,0,1110,175,815,146,0
20250630T1000,44,55,50,2,1,2398,587,1178,461,0
20250630T1000,13,25,23,0,0,1347,297,534,193,0
20250630T1030,44,59,54,2,1,3285,443,1861,450,0
20250630T1030,13,23,21,1,1,1182,138,708,136,0
20250630T1100,44,62,56,1,1,3668,849,1661,290,0
20250630T1100,13,21,19,0,0,1125,176,521,147,0
20250630T1130,44,53,48,2,1,2906,489,785,361,0
20250630T1130,13,20,18,0,0,1196,250,526,253,0
20250630T1200,44,53,48,0,0,2952,682,1338,290,0
20250630T1200,13,14,13,0,0,648,59,257,153,0
20250630T1230,44,37,34,2,1,1668,409,1172,284,0
20250630T1230,13,15,14,0,0,1219,40,441,86,0
20250630T1300,44,48,44,0,0,1894,229,625,476,0
20250630T1300,13,14,13,0,0,945,129,255,90,0
20250630T1330,44,59,54,2,1,3515,508,1360,347,0
20250630T1330,13,18,17,0,0,956,139,461,203,0
20250630T1400,44,58,53,0,0,3444,490,1390,487,0
20250630T1400,13,24,22,0,0,1517,301,497,225,0
20250630T1430,44,57,52,0,0,3393,390,856,313,0
20250630T1430,13,28,26,1,1,1500,214,815,235,0
20250630T1500,44,42,38,0,0,2664,484,906,290,0
20250630T1500,13,25,23,0,0,1788,119,897,225,0
20250630T1530,44,44,40,0,0,2509,249,701,448,0
20250630T1530,13,20,18,0,0,1047,132,365,233,0
20250630T1600,44,33,30,0,0,1822,279,679,391,0
20250630T1600,13,20,18,0,0,1342,152,688,110,0
20250630T1630,44,32,29,0,0,2246,217,777,319,0
20250630T1630,13,15,14,0,0,930,230,474,117,0
20250630T1700,44,24,22,0,0,1470,263,637,162,0
20250630T1700,13,11,10,0,0,760,59,224,122,0
20250630T1730,44,10,9,0,0,645,60,268,113,0
20250630T1730,13,6,6,0,0,339,49,145,65,0
