INTERVAL_START,split,logid,acdcalls,acdtime,holdtime,acwtime
20250630T0800,44,30128,9,427,44,200
20250630T0800,44,30143,8,373,39,175
20250630T0800,44,30157,6,267,28,125
20250630T0800,13,30201,6,294,40,139
20250630T0800,13,30215,4,241,33,113
20250630T0830,44,30128,14,690,74,308
20250630T0830,44,30143,12,604,64,270
20250630T0830,44,30157,8,432,46,192
20250630T0830,13,30201,10,618,108,257
20250630T0830,13,30215,9,506,89,210
20250630T0900,44,30128,19,1094,209,404
20250630T0900,44,30143,16,957,183,354
20250630T0900,44,30157,12,684,131,253
20250630T0900,13,30201,12,776,100,316
20250630T0900,13,30215,9,634,81,259
20250630T0930,44,30128,24,1084,96,259
20250630T0930,44,30143,21,948,84,226
20250630T0930,44,30157,15,678,60,162
20250630T0930,13,30201,14,610,96,448
20250630T0930,13,30215,12,500,79,367
20250630T1000,44,30128,22,959,235,471
20250630T1000,44,30143,19,839,205,412
20250630T1000,44,30157,14,600,147,294
20250630T1000,13,30201,14,741,163,294
20250630T1000,13,30215,11,606,134,240
20250630T1030,44,30128,24,1314,177,744
20250630T1030,44,30143,21,1150,155,651
20250630T1030,44,30157,15,821,111,465
20250630T1030,13,30201,13,650,76,389
20250630T1030,13,30215,10,532,62,319
20250630T1100,44,30128,25,1467,340,664
20250630T1100,44,30143,22,1284,297,581
20250630T1100,44,30157,16,917,212,415
20250630T1100,13,30201,12,619,97,287
20250630T1100,13,30215,9,506,79,234
20250630T1130,44,30128,21,1162,196,314
20250630T1130,44,30143,19,1017,171,275
20250630T1130,44,30157,13,726,122,196
20250630T1130,13,30201,11,658,138,289
20250630T1130,13,30215,9,538,112,237
20250630T1200,44,30128,21,1181,273,535
20250630T1200,44,30143,19,1033,239,468
20250630T1200,44,30157,13,738,170,334
20250630T1200,13,30201,8,356,32,141
20250630T1200,13,30215,6,292,27,116
20250630T1230,44,30128,15,667,164,469
20250630T1230,44,30143,13,584,143,410
20250630T1230,44,30157,9,417,102,293
20250630T1230,13,30201,8,670,22,243
20250630T1230,13,30215,7,549,18,198
20250630T1300,44,30128,19,758,92,250
20250630T1300,44,30143,17,663,80,219
20250630T1300,44,30157,12,474,57,156
20250630T1300,13,30201,8,520,71,140
20250630T1300,13,30215,6,425,58,115
20250630T1330,44,30128,24,1406,203,544
20250630T1330,44,30143,21,1230,178,476
20250630T1330,44,30157,15,879,127,340
20250630T1330,13,30201,10,526,76,254
20250630T1330,13,30215,8,430,63,207
20250630T1400,44,30128,23,1378,196,556
20250630T1400,44,30143,20,1205,172,486
20250630T1400,44,30157,14,861,122,348
20250630T1400,13,30201,13,834,166,273
20250630T1400,13,30215,11,683,135,224
20250630T1430,44,30128,23,1357,156,342
20250630T1430,44,30143,20,1188,136,300
20250630T1430,44,30157,14,848,98,214
20250630T1430,13,30201,15,825,118,448
20250630T1430,13,30215,13,675,96,367
20250630T1500,44,30128,17,1066,194,362
20250630T1500,44,30143,15,932,169,317
20250630T1500,44,30157,10,666,121,226
20250630T1500,13,30201,14,983,65,493
20250630T1500,13,30215,11,805,54,404
20250630T1530,44,30128,18,1004,100,280
20250630T1530,44,30143,15,878,87,245
20250630T1530,44,30157,11,627,62,175
20250630T1530,13,30201,11,576,73,201
20250630T1530,13,30215,9,471,59,164
20250630T1600,44,30128,13,729,112,272
20250630T1600,44,30143,12,638,98,238
20250630T1600,44,30157,8,456,70,170
20250630T1600,13,30201,11,738,84,378
20250630T1600,13,30215,9,604,68,310
20250630T1630,44,30128,13,898,87,311
20250630T1630,44,30143,11,786,76,272
20250630T1630,44,30157,8,562,54,194
20250630T1630,13,30201,8,512,127,261
20250630T1630,13,30215,7,418,104,213
20250630T1700,44,30128,10,588,105,255
20250630T1700,44,30143,8,514,92,223
20250630T1700,44,30157,6,368,66,159
20250630T1700,13,30201,6,418,32,123
20250630T1700,13,30215,5,342,27,101
20250630T1730,44,30128,4,258,24,107
20250630T1730,44,30143,4,226,21,94
20250630T1730,44,30157,2,161,15,67
20250630T1730,13,30201,3,186,27,80
20250630T1730,13,30215,3,153,22,65
