INTERVAL_START,split,acdcalls,acceptable,abncalls,slvlabns,acdtime,holdtime,acwtime,anstime,contactsactive
20250612T0800,44,20,18,1,1,1188,102,405,183,0
20250612T0800,13,12,11,0,0,998,93,212,125,0
20250612T0830,44,29,27,0,0,1819,136,785,171,0
20250612T0830,13,18,17,0,0,890,43,511,189,0
20250612T0900,44,57,52,0,0,1756,540,1376,627,0
20250612T0900,13,23,21,1,1,1732,233,701,173,0
20250612T0930,44,46,42,0,0,2562,536,1014,364,0
20250612T0930,13,21,19,0,0,1300,188,711,227,0
20250612T1000,44,51,46,0,0,2732,1,798,495,0
20250612T1000,13,21,19,1,1,1181,143,529,152,0
20250612T1030,44,53,48,0,0,3829,402,1131,422,0
20250612T1030,13,23,21,0,0,1384,252,557,146,0
20250612T1100,44,55,50,1,1,3504,354,1828,370,0
20250612T1100,13,19,18,0,0,1198,78,380,157,0
20250612T1130,44,65,59,0,0,2587,558,777,329,0
20250612T1130,13,18,17,1,1,1176,251,429,185,0
20250612T1200,44,47,43,0,0,2888,405,1069,548,0
20250612T1200,13,15,14,0,0,1048,107,439,137,0
20250612T1230,44,38,35,2,1,2161,415,830,316,0
20250612T1230,13,15,14,0,0,852,116,491,135,0
20250612T1300,44,38,35,1,1,2221,137,1055,343,0
20250612T1300,13,17,16,0,0,946,145,563,150,0
20250612T1330,44,48,44,0,0,2655,397,1478,354,0
20250612T1330,13,21,19,0,0,1331,224,346,182,0
20250612T1400,44,53,48,0,0,2923,400,1495,417,0
20250612T1400,13,24,22,1,1,1097,171,585,153,0
20250612T1430,44,52,47,0,0,2907,212,1174,428,0
20250612T1430,13,22,20,0,0,1319,226,427,250,0
20250612T1500,44,43,39,2,1,3171,248,864,296,0
20250612T1500,13,21,19,0,0,1236,126,576,171,0
20250612T1530,44,41,37,0,0,2482,204,1066,469,0
20250612T1530,13,19,18,0,0,1194,144,600,132,0
20250612T1600,44,36,33,1,1,2544,114,921,303,0
20250612T1600,13,15,14,0,0,933,181,446,121,0
20250612T1630,44,26,24,1,1,1382,239,654,119,0
20250612T1630,13,14,13,0,0,944,122,300,107,0
20250612T1700,44,20,18,1,1,1213,299,576,191,0
20250612T1700,13,10,9,0,0,748,87,285,126,0
20250612T1730,44,10,9,0,0,733,61,207,57,0
20250612T1730,13,7,7,0,0,391,36,163,52,0
