INTERVAL_START,split,acdcalls,acceptable,abncalls,slvlabns,acdtime,holdtime,acwtime,anstime,contactsactive
20250613T0800,44,18,17,0,0,1389,89,540,188,0
20250613T0800,13,9,9,0,0,628,93,233,41,0
20250613T0830,44,29,27,1,1,1937,137,772,258,0
20250613T0830,13,15,14,1,1,765,103,464,188,0
20250613T0900,44,45,41,1,1,3829,527,1263,507,0
20250613T0900,13,19,18,0,0,866,130,554,101,0
20250613T0930,44,45,41,2,1,3756,517,828,372,0
20250613T0930,13,21,19,0,0,1262,90,470,163,0
20250613T1000,44,58,53,0,0,2995,478,1750,552,0
20250613T1000,13,21,19,0,0,872,232,517,169,0
20250613T1030,44,55,50,2,1,2973,445,1589,362,0
20250613T1030,13,18,17,0,0,1088,75,506,148,0
20250613T1100,44,55,50,2,1,3497,361,1493,329,0
20250613T1100,13,18,17,0,0,974,139,472,115,0
20250613T1130,44,50,45,1,1,2892,223,1022,643,0
20250613T1130,13,18,17,0,0,852,96,186,163,0
20250613T1200,44,35,32,0,0,2069,305,1030,335,0
20250613T1200,13,14,13,0,0,956,144,451,163,0
20250613T1230,44,28,26,1,1,1909,221,792,247,0
20250613T1230,13,12,11,0,0,621,111,283,116,0
20250613T1300,44,44,40,0,0,2674,386,1148,403,0
20250613T1300,13,15,14,0,0,976,92,480,130,0
20250613T1330,44,38,35,1,1,2165,347,953,376,0
20250613T1330,13,20,18,1,1,1217,15,561,180,0
20250613T1400,44,57,52,1,1,3428,654,638,511,0
20250613T1400,13,17,16,0,0,1000,113,404,146,0
20250613T1430,44,43,39,0,0,2430,363,1048,542,0
20250613T1430,13,22,20,1,1,1505,133,356,160,0
20250613T1500,44,40,36,1,1,2464,465,928,417,0
20250613T1500,13,16,15,0,0,1145,159,571,88,0
20250613T1530,44,37,34,1,1,2031,318,867,298,0
20250613T1530,13,16,15,0,0,1137,50,316,148,0
20250613T1600,44,31,28,0,0,1690,292,653,289,0
20250613T1600,13,18,17,0,0,1044,237,474,59,0
20250613T1630,44,23,21,0,0,1404,207,724,126,0
20250613T1630,13,14,13,0,0,849,77,487,87,0
20250613T1700,44,18,17,0,0,1274,146,467,146,0
20250613T1700,13,9,9,0,0,551,89,216,63,0
20250613T1730,44,9,9,0,0,579,51,207,103,0
20250613T1730,13,7,7,0,0,404,103,243,55,0
