INTERVAL_START,logid,da_acdcalls,da_acdtime,i_availtime,ti_auxtime,o_acdcalls,o_acdtime,i_stafftime
20250613T0800,30128,7,556,1138,106,0,0,1800
20250613T0800,30143,6,486,1221,93,0,0,1800
20250613T0800,30157,4,347,1379,74,0,0,1800
20250613T0800,30201,5,345,1377,78,0,0,1800
20250613T0800,30215,4,283,1425,92,0,0,1800
20250613T0830,30128,12,775,931,94,0,0,1800
20250613T0830,30143,10,678,1026,96,0,0,1800
20250613T0830,30157,7,484,1211,105,0,0,1800
20250613T0830,30201,8,421,1257,122,0,0,1800
20250613T0830,30215,7,344,1349,107,0,0,1800
20250613T0900,30128,18,1532,174,94,0,0,1800
20250613T0900,30143,16,1340,342,118,0,0,1800
20250613T0900,30157,11,957,728,115,0,0,1800
20250613T0900,30201,10,476,1213,111,0,0,1800
20250613T0900,30215,9,390,1291,119,0,0,1800
20250613T0930,30128,18,1502,215,83,0,0,1800
20250613T0930,30143,16,1315,413,72,0,0,1800
20250613T0930,30157,11,939,761,100,0,0,1800
20250613T0930,30201,12,694,1011,95,0,0,1800
20250613T0930,30215,9,568,1110,122,0,0,1800
20250613T1000,30128,23,1198,502,100,0,0,1800
20250613T1000,30143,20,1048,652,100,0,0,1800
20250613T1000,30157,14,749,951,100,0,0,1800
20250613T1000,30201,12,480,1225,95,0,0,1800
20250613T1000,30215,9,392,1303,105,0,0,1800
20250613T1030,30128,22,1189,529,82,0,0,1800
20250613T1030,30143,19,1041,669,90,0,0,1800
20250613T1030,30157,14,743,982,75,0,0,1800
20250613T1030,30201,10,598,1124,78,0,0,1800
20250613T1030,30215,8,490,1235,75,0,0,1800
20250613T1100,30128,22,1399,308,93,0,0,1800
20250613T1100,30143,19,1224,492,84,0,0,1800
20250613T1100,30157,14,874,901,25,0,0,1800
20250613T1100,30201,10,536,1144,120,0,0,1800
20250613T1100,30215,8,438,1274,88,0,0,1800
20250613T1130,30128,20,1157,588,55,0,0,1800
20250613T1130,30143,18,1012,711,77,0,0,1800
20250613T1130,30157,12,723,1006,71,0,0,1800
20250613T1130,30201,10,469,1222,109,0,0,1800
20250613T1130,30215,8,383,1350,67,0,0,1800
20250613T1200,30128,14,828,875,97,0,0,1800
20250613T1200,30143,12,724,966,110,0,0,1800
20250613T1200,30157,9,517,1187,96,0,0,1800
20250613T1200,30201,8,526,1199,75,0,0,1800
20250613T1200,30215,6,430,1283,87,0,0,1800
20250613T1230,30128,11,764,948,88,0,0,1800
20250613T1230,30143,10,668,1010,122,0,0,1800
20250613T1230,30157,7,477,1213,110,0,0,1800
20250613T1230,30201,7,342,1374,84,0,0,1800
20250613T1230,30215,5,279,1438,83,0,0,1800
20250613T1300,30128,18,1070,650,80,0,0,1800
20250613T1300,30143,15,936,768,96,0,0,1800
20250613T1300,30157,11,668,1046,86,0,0,1800
20250613T1300,30201,8,537,1176,87,0,0,1800
20250613T1300,30215,7,439,1288,73,0,0,1800
20250613T1330,30128,15,866,817,117,0,0,1800
20250613T1330,30143,13,758,945,97,0,0,1800
20250613T1330,30157,10,541,1171,88,0,0,1800
20250613T1330,30201,11,669,1046,85,0,0,1800
20250613T1330,30215,9,548,1171,81,0,0,1800
20250613T1400,30128,23,1371,345,84,0,0,1800
20250613T1400,30143,20,1200,548,52,0,0,1800
20250613T1400,30157,14,857,846,97,0,0,1800
20250613T1400,30201,9,550,1162,88,0,0,1800
20250613T1400,30215,8,450,1251,99,0,0,1800
20250613T1430,30128,17,972,730,98,0,0,1800
20250613T1430,30143,15,850,827,123,0,0,1800
20250613T1430,30157,11,608,1086,106,0,0,1800
20250613T1430,30201,12,828,869,103,0,0,1800
20250613T1430,30215,10,677,1036,87,0,0,1800
20250613T1500,30128,16,986,714,100,0,0,1800
20250613T1500,30143,14,862,832,106,0,0,1800
20250613T1500,30157,10,616,1094,90,0,0,1800
20250613T1500,30201,9,630,1045,125,0,0,1800
20250613T1500,30215,7,515,1198,87,0,0,1800
20250613T1530,30128,15,812,912,76,0,0,1800
20250613T1530,30143,13,711,958,131,0,0,1800
20250613T1530,30157,9,508,1189,103,0,0,1800
20250613T1530,30201,9,625,1092,83,0,0,1800
20250613T1530,30215,7,512,1184,104,0,0,1800
20250613T1600,30128,12,676,1038,86,0,0,1800
20250613T1600,30143,11,592,1103,105,0,0,1800
20250613T1600,30157,8,422,1290,88,0,0,1800
20250613T1600,30201,10,574,1131,95,0,0,1800
20250613T1600,30215,8,470,1221,109,0,0,1800
20250613T1630,30128,9,562,1157,81,0,0,1800
20250613T1630,30143,8,491,1222,87,0,0,1800
20250613T1630,30157,6,351,1314,135,0,0,1800
20250613T1630,30201,8,467,1234,99,0,0,1800
20250613T1630,30215,6,382,1331,87,0,0,1800
20250613T1700,30128,7,510,1217,73,0,0,1800
20250613T1700,30143,6,446,1319,35,0,0,1800
20250613T1700,30157,4,318,1367,115,0,0,1800
20250613T1700,30201,5,303,1396,101,0,0,1800
20250613T1700,30215,4,248,1477,75,0,0,1800
20250613T1730,30128,4,232,1473,95,0,0,1800
20250613T1730,30143,3,203,1497,100,0,0,1800
20250613T1730,30157,2,145,1577,78,0,0,1800
20250613T1730,30201,4,222,1489,89,0,0,1800
20250613T1730,30215,3,182,1562,56,0,0,1800
