INTERVAL_START,split,logid,acdcalls,acdtime,holdtime,acwtime
20250604T0800,44,30128,8,332,66,218
20250604T0800,44,30143,7,291,57,190
20250604T0800,44,30157,5,208,41,136
20250604T0800,13,30201,7,303,58,192
20250604T0800,13,30215,5,248,48,157
20250604T0830,44,30128,15,751,86,380
20250604T0830,44,30143,13,657,76,332
20250604T0830,44,30157,9,469,54,238
20250604T0830,13,30201,10,588,49,238
20250604T0830,13,30215,8,481,40,194
20250604T0900,44,30128,18,1205,107,428
20250604T0900,44,30143,16,1054,93,375
20250604T0900,44,30157,11,753,67,268
20250604T0900,13,30201,12,591,112,148
20250604T0900,13,30215,9,483,92,121
20250604T0930,44,30128,23,1435,245,399
20250604T0930,44,30143,20,1256,215,349
20250604T0930,44,30157,14,897,153,249
20250604T0930,13,30201,10,685,92,203
20250604T0930,13,30215,9,560,76,166
20250604T1000,44,30128,24,1162,114,666
20250604T1000,44,30143,21,1017,100,583
20250604T1000,44,30157,15,726,71,416
20250604T1000,13,30201,12,767,35,218
20250604T1000,13,30215,10,627,28,179
20250604T1030,44,30128,24,1645,290,728
20250604T1030,44,30143,21,1440,254,637
20250604T1030,44,30157,15,1028,181,455
20250604T1030,13,30201,12,713,122,260
20250604T1030,13,30215,9,583,99,212
20250604T1100,44,30128,26,1754,199,798
20250604T1100,44,30143,23,1535,174,698
20250604T1100,44,30157,16,1096,124,498
20250604T1100,13,30201,12,612,70,227
20250604T1100,13,30215,9,501,57,185
20250604T1130,44,30128,23,1554,189,482
20250604T1130,44,30143,20,1359,165,422
20250604T1130,44,30157,14,971,118,301
20250604T1130,13,30201,12,511,125,338
20250604T1130,13,30215,9,418,103,276
20250604T1200,44,30128,19,960,122,368
20250604T1200,44,30143,17,840,107,322
20250604T1200,44,30157,12,600,76,230
20250604T1200,13,30201,10,768,94,283
20250604T1200,13,30215,8,628,77,231
20250604T1230,44,30128,13,828,46,258
20250604T1230,44,30143,11,724,41,226
20250604T1230,44,30157,8,517,29,162
20250604T1230,13,30201,7,449,28,170
20250604T1230,13,30215,5,368,22,140
20250604T1300,44,30128,17,1057,58,460
20250604T1300,44,30143,15,925,51,402
20250604T1300,44,30157,11,660,36,288
20250604T1300,13,30201,8,513,61,150
20250604T1300,13,30215,6,420,50,122
20250604T1330,44,30128,18,743,158,452
20250604T1330,44,30143,16,650,138,395
20250604T1330,44,30157,12,464,98,282
20250604T1330,13,30201,12,599,126,263
20250604T1330,13,30215,9,490,103,215
20250604T1400,44,30128,21,1352,72,722
20250604T1400,44,30143,18,1183,63,632
20250604T1400,44,30157,13,845,45,452
20250604T1400,13,30201,12,662,144,280
20250604T1400,13,30215,9,542,117,229
20250604T1430,44,30128,18,1382,164,458
20250604T1430,44,30143,16,1209,144,400
20250604T1430,44,30157,12,864,103,286
20250604T1430,13,30201,13,695,110,269
20250604T1430,13,30215,10,569,90,220
20250604T1500,44,30128,16,946,185,305
20250604T1500,44,30143,14,827,162,267
20250604T1500,44,30157,10,591,116,190
20250604T1500,13,30201,13,798,115,182
20250604T1500,13,30215,10,653,94,149
20250604T1530,44,30128,16,872,146,382
20250604T1530,44,30143,14,763,128,334
20250604T1530,44,30157,10,545,91,239
20250604T1530,13,30201,10,758,84,258
20250604T1530,13,30215,9,620,68,211
20250604T1600,44,30128,14,744,192,416
20250604T1600,44,30143,12,651,168,364
20250604T1600,44,30157,8,465,120,260
20250604T1600,13,30201,10,783,91,218
20250604T1600,13,30215,9,640,75,179
20250604T1630,44,30128,10,475,40,277
20250604T1630,44,30143,9,415,35,243
20250604T1630,44,30157,6,297,25,173
20250604T1630,13,30201,7,453,48,150
20250604T1630,13,30215,6,370,40,123
20250604T1700,44,30128,7,327,77,151
20250604T1700,44,30143,6,286,67,132
20250604T1700,44,30157,4,204,48,94
20250604T1700,13,30201,7,416,48,131
20250604T1700,13,30215,5,341,39,107
20250604T1730,44,30128,4,268,30,88
20250604T1730,44,30143,4,234,27,77
20250604T1730,44,30157,2,167,19,55
20250604T1730,13,30201,4,190,28,114
20250604T1730,13,30215,3,156,22,93
