INTERVAL_START,split,acdcalls,acceptable,abncalls,slvlabns,acdtime,holdtime,acwtime,anstime,contactsactive
20250604T0800,44,19,18,0,0,831,164,544,235,0
20250604T0800,13,12,11,0,0,551,106,349,130,0
20250604T0830,44,37,34,0,0,1877,216,950,428,0
20250604T0830,13,18,17,0,0,1069,89,432,140,0
20250604T0900,44,45,41,1,1,3012,267,1071,369,0
20250604T0900,13,21,19,0,0,1074,204,269,106,0
20250604T0930,44,58,53,0,0,3588,613,997,221,0
20250604T0930,13,19,18,0,0,1245,168,369,181,0
20250604T1000,44,60,54,3,1,2906,285,1666,465,0
20250604T1000,13,22,20,0,0,1394,63,397,134,0
20250604T1030,44,59,54,0,0,4113,725,1820,389,0
20250604T1030,13,21,19,0,0,1296,221,472,203,0
20250604T1100,44,65,59,0,0,4386,497,1994,361,0
20250604T1100,13,21,19,0,0,1113,127,412,173,0
20250604T1130,44,57,52,1,1,3884,472,1205,309,0
20250604T1130,13,21,19,1,1,929,228,614,242,0
20250604T1200,44,48,44,0,0,2400,306,919,295,0
20250604T1200,13,18,17,0,0,1396,171,514,121,0
20250604T1230,44,32,29,0,0,2069,116,646,221,0
20250604T1230,13,12,11,1,1,817,50,310,93,0
20250604T1300,44,43,39,2,1,2642,146,1150,464,0
20250604T1300,13,14,13,0,0,933,111,272,74,0
20250604T1330,44,46,42,0,0,1858,394,1129,390,0
20250604T1330,13,21,19,0,0,1089,229,478,158,0
20250604T1400,44,52,47,1,1,3379,180,1806,314,0
20250604T1400,13,21,19,0,0,1204,261,509,148,0
20250604T1430,44,46,42,0,0,3454,411,1144,461,0
20250604T1430,13,23,21,0,0,1264,200,489,121,0
20250604T1500,44,40,36,1,1,2364,463,762,380,0
20250604T1500,13,23,21,1,1,1451,209,331,135,0
20250604T1530,44,40,36,0,0,2180,365,955,182,0
20250604T1530,13,19,18,0,0,1378,152,469,82,0
20250604T1600,44,34,31,0,0,1859,481,1040,248,0
20250604T1600,13,19,18,0,0,1423,166,397,201,0
20250604T1630,44,26,24,0,0,1187,100,693,246,0
20250604T1630,13,13,12,0,0,823,88,273,70,0
20250604T1700,44,17,16,0,0,817,192,378,134,0
20250604T1700,13,12,11,0,0,757,87,238,118,0
20250604T1730,44,10,9,0,0,669,76,220,75,0
20250604T1730,13,7,7,0,0,346,50,207,48,0
