INTERVAL_START,split,acdcalls,acceptable,abncalls,slvlabns,acdtime,holdtime,acwtime,anstime,contactsactive
20250609T0800,44,23,21,0,0,1624,218,555,222,0
20250609T0800,13,10,9,0,0,580,98,273,70,0
20250609T0830,44,40,36,0,0,2038,386,865,383,0
20250609T0830,13,18,17,0,0,1213,202,519,86,0
20250609T0900,44,55,50,0,0,3214,309,1279,471,0
20250609T0900,13,21,19,0,0,1144,178,498,117,0
20250609T0930,44,57,52,2,1,3118,477,1294,457,0
20250609T0930,13,23,21,1,1,1471,143,498,195,0
20250609T1000,44,60,54,0,0,3638,479,2388,550,0
20250609T1000,13,23,21,1,1,1394,152,525,140,0
20250609T1030,44,57,52,1,1,3499,492,1753,476,0
20250609T1030,13,24,22,0,0,1302,134,582,180,0
20250609T1100,44,66,60,2,1,3415,480,1895,378,0
20250609T1100,13,19,18,0,0,1223,149,567,172,0
20250609T1130,44,63,57,0,0,3935,531,1260,475,0
20250609T1130,13,22,20,0,0,1267,101,650,163,0
20250609T1200,44,50,45,0,0,3993,551,1527,142,0
20250609T1200,13,14,13,0,0,833,135,370,103,0
20250609T1230,44,38,35,0,0,2169,299,1110,244,0
20250609T1230,13,15,14,1,1,1106,96,255,109,0
20250609T1300,44,50,45,0,0,3205,476,1326,435,0
20250609T1300,13,14,13,1,1,850,100,513,145,0
20250609T1330,44,50,45,0,0,3067,712,1462,309,0
20250609T1330,13,23,21,1,1,1488,0,598,256,0
20250609T1400,44,55,50,1,1,3366,558,1459,305,0
20250609T1400,13,20,18,1,1,1401,152,602,212,0
20250609T1430,44,47,43,0,0,2502,185,1290,322,0
20250609T1430,13,23,21,0,0,1621,156,513,167,0
20250609T1500,44,50,45,0,0,3068,398,1540,430,0
20250609T1500,13,21,19,0,0,1204,86,471,214,0
20250609T1530,44,38,35,0,0,1198,245,1188,340,0
20250609T1530,13,21,19,0,0,1234,118,501,140,0
20250609T1600,44,30,27,0,0,1603,287,722,218,0
20250609T1600,13,17,16,1,1,862,185,409,136,0
20250609T1630,44,24,22,0,0,734,124,545,207,0
20250609T1630,13,13,12,0,0,680,86,295,91,0
20250609T1700,44,20,18,0,0,1257,131,466,203,0
20250609T1700,13,11,10,0,0,653,69,197,83,0
20250609T1730,44,12,11,0,0,639,120,364,94,0
20250609T1730,13,7,7,0,0,555,27,182,85,0
