INTERVAL_START,logid,da_acdcalls,da_acdtime,i_availtime,ti_auxtime,o_acdcalls,o_acdtime,i_stafftime
20250609T0800,30128,9,650,1045,105,0,0,1800
20250609T0800,30143,8,568,1172,60,0,0,1800
20250609T0800,30157,6,406,1351,43,0,0,1800
20250609T0800,30201,6,319,1399,82,0,0,1800
20250609T0800,30215,4,261,1432,107,0,0,1800
20250609T0830,30128,16,815,899,86,0,0,1800
20250609T0830,30143,14,713,1036,51,0,0,1800
20250609T0830,30157,10,510,1239,51,0,0,1800
20250609T0830,30201,10,667,1016,117,0,0,1800
20250609T0830,30215,8,546,1162,92,0,0,1800
20250609T0900,30128,22,1286,418,96,0,0,1800
20250609T0900,30143,19,1125,580,95,0,0,1800
20250609T0900,30157,14,804,877,119,0,0,1800
20250609T0900,30201,12,629,1068,103,0,0,1800
20250609T0900,30215,9,515,1200,85,0,0,1800
20250609T0930,30128,23,1247,511,42,0,0,1800
20250609T0930,30143,20,1091,618,91,0,0,1800
20250609T0930,30157,14,780,923,97,0,0,1800
20250609T0930,30201,13,809,914,77,0,0,1800
20250609T0930,30215,10,662,1048,90,0,0,1800
20250609T1000,30128,24,1455,243,102,0,0,1800
20250609T1000,30143,21,1273,472,55,0,0,1800
20250609T1000,30157,15,910,814,76,0,0,1800
20250609T1000,30201,13,767,922,111,0,0,1800
20250609T1000,30215,10,627,1102,71,0,0,1800
20250609T1030,30128,23,1400,308,92,0,0,1800
20250609T1030,30143,20,1225,477,98,0,0,1800
20250609T1030,30157,14,875,817,108,0,0,1800
20250609T1030,30201,13,716,983,101,0,0,1800
20250609T1030,30215,11,586,1134,80,0,0,1800
20250609T1100,30128,26,1366,311,123,0,0,1800
20250609T1100,30143,23,1195,524,81,0,0,1800
20250609T1100,30157,16,854,860,86,0,0,1800
20250609T1100,30201,10,673,1039,88,0,0,1800
20250609T1100,30215,9,550,1174,76,0,0,1800
20250609T1130,30128,25,1574,142,84,0,0,1800
20250609T1130,30143,22,1377,341,82,0,0,1800
20250609T1130,30157,16,984,712,104,0,0,1800
20250609T1130,30201,12,697,1025,78,0,0,1800
20250609T1130,30215,10,570,1127,103,0,0,1800
20250609T1200,30128,20,1597,125,78,0,0,1800
20250609T1200,30143,18,1398,317,85,0,0,1800
20250609T1200,30157,12,998,684,118,0,0,1800
20250609T1200,30201,8,458,1216,126,0,0,1800
20250609T1200,30215,6,375,1357,68,0,0,1800
20250609T1230,30128,15,868,852,80,0,0,1800
20250609T1230,30143,13,759,952,89,0,0,1800
20250609T1230,30157,10,542,1154,104,0,0,1800
20250609T1230,30201,8,608,1087,105,0,0,1800
20250609T1230,30215,7,498,1195,107,0,0,1800
20250609T1300,30128,20,1282,450,68,0,0,1800
20250609T1300,30143,18,1122,585,93,0,0,1800
20250609T1300,30157,12,801,908,91,0,0,1800
20250609T1300,30201,8,468,1225,107,0,0,1800
20250609T1300,30215,6,382,1323,95,0,0,1800
20250609T1330,30128,20,1227,486,87,0,0,1800
20250609T1330,30143,18,1073,645,82,0,0,1800
20250609T1330,30157,12,767,975,58,0,0,1800
20250609T1330,30201,13,818,911,71,0,0,1800
20250609T1330,30215,10,670,1010,120,0,0,1800
20250609T1400,30128,22,1346,386,68,0,0,1800
20250609T1400,30143,19,1178,542,80,0,0,1800
20250609T1400,30157,14,842,854,104,0,0,1800
20250609T1400,30201,11,771,915,114,0,0,1800
20250609T1400,30215,9,630,1064,106,0,0,1800
20250609T1430,30128,19,1001,743,56,0,0,1800
20250609T1430,30143,16,876,801,123,0,0,1800
20250609T1430,30157,12,626,1099,75,0,0,1800
20250609T1430,30201,13,892,784,124,0,0,1800
20250609T1430,30215,10,729,993,78,0,0,1800
20250609T1500,30128,20,1227,460,113,0,0,1800
20250609T1500,30143,18,1074,632,94,0,0,1800
20250609T1500,30157,12,767,940,93,0,0,1800
20250609T1500,30201,12,662,1046,92,0,0,1800
20250609T1500,30215,9,542,1175,83,0,0,1800
20250609T1530,30128,15,479,1222,99,0,0,1800
20250609T1530,30143,13,419,1299,82,0,0,1800
20250609T1530,30157,10,300,1424,76,0,0,1800
20250609T1530,30201,12,679,1043,78,0,0,1800
20250609T1530,30215,9,555,1176,69,0,0,1800
20250609T1600,30128,12,641,1082,77,0,0,1800
20250609T1600,30143,10,561,1123,116,0,0,1800
20250609T1600,30157,8,401,1351,48,0,0,1800
20250609T1600,30201,9,474,1203,123,0,0,1800
20250609T1600,30215,8,388,1295,117,0,0,1800
20250609T1630,30128,10,294,1396,110,0,0,1800
20250609T1630,30143,8,257,1425,118,0,0,1800
20250609T1630,30157,6,184,1494,122,0,0,1800
20250609T1630,30201,7,374,1340,86,0,0,1800
20250609T1630,30215,6,306,1416,78,0,0,1800
20250609T1700,30128,8,503,1214,83,0,0,1800
20250609T1700,30143,7,440,1324,36,0,0,1800
20250609T1700,30157,5,314,1371,115,0,0,1800
20250609T1700,30201,6,359,1342,99,0,0,1800
20250609T1700,30215,5,294,1413,93,0,0,1800
20250609T1730,30128,5,256,1425,119,0,0,1800
20250609T1730,30143,4,224,1486,90,0,0,1800
20250609T1730,30157,3,160,1543,97,0,0,1800
20250609T1730,30201,4,305,1420,75,0,0,1800
20250609T1730,30215,3,250,1476,74,0,0,1800
