INTERVAL_START,split,logid,acdcalls,acdtime,holdtime,acwtime
20250609T0800,44,30128,9,650,87,222
20250609T0800,44,30143,8,568,76,194
20250609T0800,44,30157,6,406,54,139
20250609T0800,13,30201,6,319,54,150
20250609T0800,13,30215,4,261,44,123
20250609T0830,44,30128,16,815,154,346
20250609T0830,44,30143,14,713,135,303
20250609T0830,44,30157,10,510,96,216
20250609T0830,13,30201,10,667,111,285
20250609T0830,13,30215,8,546,91,234
20250609T0900,44,30128,22,1286,124,512
20250609T0900,44,30143,19,1125,108,448
20250609T0900,44,30157,14,804,77,320
20250609T0900,13,30201,12,629,98,274
20250609T0900,13,30215,9,515,80,224
20250609T0930,44,30128,23,1247,191,518
20250609T0930,44,30143,20,1091,167,453
20250609T0930,44,30157,14,780,119,324
20250609T0930,13,30201,13,809,79,274
20250609T0930,13,30215,10,662,64,224
20250609T1000,44,30128,24,1455,192,955
20250609T1000,44,30143,21,1273,168,836
20250609T1000,44,30157,15,910,120,597
20250609T1000,13,30201,13,767,84,289
20250609T1000,13,30215,10,627,68,236
20250609T1030,44,30128,23,1400,197,701
20250609T1030,44,30143,20,1225,172,614
20250609T1030,44,30157,14,875,123,438
20250609T1030,13,30201,13,716,74,320
20250609T1030,13,30215,11,586,60,262
20250609T1100,44,30128,26,1366,192,758
20250609T1100,44,30143,23,1195,168,663
20250609T1100,44,30157,16,854,120,474
20250609T1100,13,30201,10,673,82,312
20250609T1100,13,30215,9,550,67,255
20250609T1130,44,30128,25,1574,212,504
20250609T1130,44,30143,22,1377,186,441
20250609T1130,44,30157,16,984,133,315
20250609T1130,13,30201,12,697,56,358
20250609T1130,13,30215,10,570,45,292
20250609T1200,44,30128,20,1597,220,611
20250609T1200,44,30143,18,1398,193,534
20250609T1200,44,30157,12,998,138,382
20250609T1200,13,30201,8,458,74,204
20250609T1200,13,30215,6,375,61,166
20250609T1230,44,30128,15,868,120,444
20250609T1230,44,30143,13,759,105,388
20250609T1230,44,30157,10,542,75,278
20250609T1230,13,30201,8,608,53,140
20250609T1230,13,30215,7,498,43,115
20250609T1300,44,30128,20,1282,190,530
20250609T1300,44,30143,18,1122,167,464
20250609T1300,44,30157,12,801,119,332
20250609T1300,13,30201,8,468,55,282
20250609T1300,13,30215,6,382,45,231
20250609T1330,44,30128,20,1227,285,585
20250609T1330,44,30143,18,1073,249,512
20250609T1330,44,30157,12,767,178,366
20250609T1330,13,30201,13,818,0,329
20250609T1330,13,30215,10,670,0,269
20250609T1400,44,30128,22,1346,223,584
20250609T1400,44,30143,19,1178,195,511
20250609T1400,44,30157,14,842,140,365
20250609T1400,13,30201,11,771,84,331
20250609T1400,13,30215,9,630,68,271
20250609T1430,44,30128,19,1001,74,516
20250609T1430,44,30143,16,876,65,451
20250609T1430,44,30157,12,626,46,322
20250609T1430,13,30201,13,892,86,282
20250609T1430,13,30215,10,729,70,231
20250609T1500,44,30128,20,1227,159,616
20250609T1500,44,30143,18,1074,139,539
20250609T1500,44,30157,12,767,100,385
20250609T1500,13,30201,12,662,47,259
20250609T1500,13,30215,9,542,39,212
20250609T1530,44,30128,15,479,98,475
20250609T1530,44,30143,13,419,86,416
20250609T1530,44,30157,10,300,61,297
20250609T1530,13,30201,12,679,65,276
20250609T1530,13,30215,9,555,53,225
20250609T1600,44,30128,12,641,115,289
20250609T1600,44,30143,10,561,100,253
20250609T1600,44,30157,8,401,72,180
20250609T1600,13,30201,9,474,102,225
20250609T1600,13,30215,8,388,83,184
20250609T1630,44,30128,10,294,50,218
20250609T1630,44,30143,8,257,43,191
20250609T1630,44,30157,6,184,31,136
20250609T1630,13,30201,7,374,47,162
20250609T1630,13,30215,6,306,39,133
20250609T1700,44,30128,8,503,52,186
20250609T1700,44,30143,7,440,46,163
20250609T1700,44,30157,5,314,33,116
20250609T1700,13,30201,6,359,38,108
20250609T1700,13,30215,5,294,31,89
20250609T1730,44,30128,5,256,48,146
20250609T1730,44,30143,4,224,42,127
20250609T1730,44,30157,3,160,30,91
20250609T1730,13,30201,4,305,15,100
20250609T1730,13,30215,3,250,12,82
