INTERVAL_START,logid,da_acdcalls,da_acdtime,i_availtime,ti_auxtime,o_acdcalls,o_acdtime,i_stafftime
20250624T0800,30128,7,442,1267,91,0,0,1800
20250624T0800,30143,6,386,1348,66,0,0,1800
20250624T0800,30157,4,276,1439,85,0,0,1800
20250624T0800,30201,7,380,1308,112,0,0,1800
20250624T0800,30215,5,311,1365,124,0,0,1800
20250624T0830,30128,12,984,694,122,0,0,1800
20250624T0830,30143,11,861,842,97,0,0,1800
20250624T0830,30157,8,615,1093,92,0,0,1800
20250624T0830,30201,10,641,1076,83,0,0,1800
20250624T0830,30215,8,524,1193,83,0,0,1800
20250624T0900,30128,20,1498,193,109,0,0,1800
20250624T0900,30143,18,1311,420,69,0,0,1800
20250624T0900,30157,13,936,792,72,0,0,1800
20250624T0900,30201,13,965,724,111,0,0,1800
20250624T0900,30215,10,789,924,87,0,0,1800
20250624T0930,30128,20,1470,259,71,0,0,1800
20250624T0930,30143,18,1287,409,104,0,0,1800
20250624T0930,30157,13,919,748,133,0,0,1800
20250624T0930,30201,12,736,951,113,0,0,1800
20250624T0930,30215,10,602,1119,79,0,0,1800
20250624T1000,30128,23,1354,352,94,0,0,1800
20250624T1000,30143,20,1185,541,74,0,0,1800
20250624T1000,30157,14,846,878,76,0,0,1800
20250624T1000,30201,12,569,1143,88,0,0,1800
20250624T1000,30215,9,465,1279,56,0,0,1800
20250624T1030,30128,23,1232,451,117,0,0,1800
20250624T1030,30143,20,1078,648,74,0,0,1800
20250624T1030,30157,14,770,920,110,0,0,1800
20250624T1030,30201,12,769,951,80,0,0,1800
20250624T1030,30215,10,629,1101,70,0,0,1800
20250624T1100,30128,24,1632,76,92,0,0,1800
20250624T1100,30143,21,1428,274,98,0,0,1800
20250624T1100,30157,15,1020,708,72,0,0,1800
20250624T1100,30201,11,950,740,110,0,0,1800
20250624T1100,30215,9,777,945,78,0,0,1800
20250624T1130,30128,21,1326,389,85,0,0,1800
20250624T1130,30143,18,1161,567,72,0,0,1800
20250624T1130,30157,13,829,916,55,0,0,1800
20250624T1130,30201,9,486,1232,82,0,0,1800
20250624T1130,30215,8,397,1345,58,0,0,1800
20250624T1200,30128,17,1014,691,95,0,0,1800
20250624T1200,30143,15,887,812,101,0,0,1800
20250624T1200,30157,11,634,1053,113,0,0,1800
20250624T1200,30201,9,559,1112,129,0,0,1800
20250624T1200,30215,7,457,1237,106,0,0,1800
20250624T1230,30128,16,1115,581,104,0,0,1800
20250624T1230,30143,14,975,735,90,0,0,1800
20250624T1230,30157,10,697,987,116,0,0,1800
20250624T1230,30201,7,317,1389,94,0,0,1800
20250624T1230,30215,5,260,1456,84,0,0,1800
20250624T1300,30128,19,987,703,110,0,0,1800
20250624T1300,30143,17,863,844,93,0,0,1800
20250624T1300,30157,12,617,1094,89,0,0,1800
20250624T1300,30201,9,621,1060,119,0,0,1800
20250624T1300,30215,8,508,1217,75,0,0,1800
20250624T1330,30128,21,1171,506,123,0,0,1800
20250624T1330,30143,18,1024,671,105,0,0,1800
20250624T1330,30157,13,732,1023,45,0,0,1800
20250624T1330,30201,12,768,984,48,0,0,1800
20250624T1330,30215,10,629,1095,76,0,0,1800
20250624T1400,30128,27,1518,162,120,0,0,1800
20250624T1400,30143,23,1328,405,67,0,0,1800
20250624T1400,30157,17,949,758,93,0,0,1800
20250624T1400,30201,12,818,877,105,0,0,1800
20250624T1400,30215,10,669,1025,106,0,0,1800
20250624T1430,30128,22,1611,85,104,0,0,1800
20250624T1430,30143,19,1409,286,105,0,0,1800
20250624T1430,30157,14,1007,714,79,0,0,1800
20250624T1430,30201,13,606,1074,120,0,0,1800
20250624T1430,30215,11,495,1201,104,0,0,1800
20250624T1500,30128,17,1195,525,80,0,0,1800
20250624T1500,30143,15,1046,695,59,0,0,1800
20250624T1500,30157,11,747,909,144,0,0,1800
20250624T1500,30201,11,541,1125,134,0,0,1800
20250624T1500,30215,9,442,1304,54,0,0,1800
20250624T1530,30128,16,1237,468,95,0,0,1800
20250624T1530,30143,14,1083,658,59,0,0,1800
20250624T1530,30157,10,773,939,88,0,0,1800
20250624T1530,30201,10,669,1036,95,0,0,1800
20250624T1530,30215,8,547,1178,75,0,0,1800
20250624T1600,30128,14,546,1190,64,0,0,1800
20250624T1600,30143,12,477,1247,76,0,0,1800
20250624T1600,30157,8,341,1368,91,0,0,1800
20250624T1600,30201,10,615,1099,86,0,0,1800
20250624T1600,30215,8,504,1230,66,0,0,1800
20250624T1630,30128,9,454,1267,79,0,0,1800
20250624T1630,30143,8,397,1278,125,0,0,1800
20250624T1630,30157,6,284,1397,119,0,0,1800
20250624T1630,30201,6,371,1352,77,0,0,1800
20250624T1630,30215,5,303,1354,143,0,0,1800
20250624T1700,30128,9,622,1101,77,0,0,1800
20250624T1700,30143,8,544,1178,78,0,0,1800
20250624T1700,30157,6,388,1354,58,0,0,1800
20250624T1700,30201,6,431,1275,94,0,0,1800
20250624T1700,30215,5,352,1378,70,0,0,1800
20250624T1730,30128,4,256,1466,78,0,0,1800
20250624T1730,30143,4,224,1521,55,0,0,1800
20250624T1730,30157,3,160,1522,118,0,0,1800
20250624T1730,30201,3,139,1562,99,0,0,1800
20250624T1730,30215,3,113,1587,100,0,0,1800
