INTERVAL_START,split,acdcalls,acceptable,abncalls,slvlabns,acdtime,holdtime,acwtime,anstime,contactsactive
20250624T0800,44,17,16,1,1,1104,273,148,142,0
20250624T0800,13,12,11,0,0,691,187,345,81,0
20250624T0830,44,31,28,1,1,2460,288,573,289,0
20250624T0830,13,18,17,1,1,1165,187,402,87,0
20250624T0900,44,51,46,0,0,3746,564,1444,405,0
20250624T0900,13,23,21,1,1,1754,247,595,137,0
20250624T0930,44,51,46,0,0,3676,645,1206,417,0
20250624T0930,13,22,20,0,0,1338,64,599,213,0
20250624T1000,44,58,53,0,0,3386,497,1411,534,0
20250624T1000,13,21,19,0,0,1034,235,278,211,0
20250624T1030,44,58,53,0,0,3080,380,1542,548,0
20250624T1030,13,22,20,0,0,1398,136,392,153,0
20250624T1100,44,61,55,0,0,4081,751,1559,573,0
20250624T1100,13,20,18,1,1,1727,136,299,140,0
20250624T1130,44,52,47,0,0,3316,596,1137,607,0
20250624T1130,13,17,16,0,0,883,112,504,106,0
20250624T1200,44,43,39,0,0,2535,556,1115,293,0
20250624T1200,13,16,15,0,0,1016,178,349,102,0
20250624T1230,44,39,36,0,0,2787,287,914,368,0
20250624T1230,13,12,11,0,0,577,108,183,110,0
20250624T1300,44,48,44,2,1,2467,529,857,235,0
20250624T1300,13,17,16,0,0,1129,145,345,138,0
20250624T1330,44,52,47,2,1,2927,365,1635,479,0
20250624T1330,13,22,20,0,0,1397,139,721,104,0
20250624T1400,44,67,61,0,0,3795,454,1760,714,0
20250624T1400,13,22,20,0,0,1487,135,624,179,0
20250624T1430,44,55,50,1,1,4027,317,1618,537,0
20250624T1430,13,24,22,1,1,1101,89,478,330,0
20250624T1500,44,43,39,0,0,2988,575,1220,366,0
20250624T1500,13,20,18,0,0,983,0,536,170,0
20250624T1530,44,39,36,0,0,3093,308,654,374,0
20250624T1530,13,18,17,1,1,1216,193,414,116,0
20250624T1600,44,34,31,0,0,1364,357,658,308,0
20250624T1600,13,18,17,0,0,1119,136,519,159,0
20250624T1630,44,23,21,1,1,1134,197,557,136,0
20250624T1630,13,11,10,0,0,674,95,300,100,0
20250624T1700,44,23,21,0,0,1554,216,533,185,0
20250624T1700,13,11,10,0,0,783,80,313,98,0
20250624T1730,44,11,10,0,0,640,115,288,90,0
20250624T1730,13,6,6,0,0,252,48,102,62,0
