INTERVAL_START,split,logid,acdcalls,acdtime,holdtime,acwtime
20250624T0800,44,30128,7,442,109,59
20250624T0800,44,30143,6,386,96,52
20250624T0800,44,30157,4,276,68,37
20250624T0800,13,30201,7,380,103,190
20250624T0800,13,30215,5,311,84,155
20250624T0830,44,30128,12,984,115,229
20250624T0830,44,30143,11,861,101,201
20250624T0830,44,30157,8,615,72,143
20250624T0830,13,30201,10,641,103,221
20250624T0830,13,30215,8,524,84,181
20250624T0900,44,30128,20,1498,226,578
20250624T0900,44,30143,18,1311,197,505
20250624T0900,44,30157,13,936,141,361
20250624T0900,13,30201,13,965,136,327
20250624T0900,13,30215,10,789,111,268
20250624T0930,44,30128,20,1470,258,482
20250624T0930,44,30143,18,1287,226,422
20250624T0930,44,30157,13,919,161,302
20250624T0930,13,30201,12,736,35,329
20250624T0930,13,30215,10,602,29,270
20250624T1000,44,30128,23,1354,199,564
20250624T1000,44,30143,20,1185,174,494
20250624T1000,44,30157,14,846,124,353
20250624T1000,13,30201,12,569,129,153
20250624T1000,13,30215,9,465,106,125
20250624T1030,44,30128,23,1232,152,617
20250624T1030,44,30143,20,1078,133,540
20250624T1030,44,30157,14,770,95,386
20250624T1030,13,30201,12,769,75,216
20250624T1030,13,30215,10,629,61,176
20250624T1100,44,30128,24,1632,300,624
20250624T1100,44,30143,21,1428,263,546
20250624T1100,44,30157,15,1020,188,390
20250624T1100,13,30201,11,950,75,164
20250624T1100,13,30215,9,777,61,135
20250624T1130,44,30128,21,1326,238,455
20250624T1130,44,30143,18,1161,209,398
20250624T1130,44,30157,13,829,149,284
20250624T1130,13,30201,9,486,62,277
20250624T1130,13,30215,8,397,50,227
20250624T1200,44,30128,17,1014,222,446
20250624T1200,44,30143,15,887,195,390
20250624T1200,44,30157,11,634,139,279
20250624T1200,13,30201,9,559,98,192
20250624T1200,13,30215,7,457,80,157
20250624T1230,44,30128,16,1115,115,366
20250624T1230,44,30143,14,975,100,320
20250624T1230,44,30157,10,697,72,228
20250624T1230,13,30201,7,317,59,101
20250624T1230,13,30215,5,260,49,82
20250624T1300,44,30128,19,987,212,343
20250624T1300,44,30143,17,863,185,300
20250624T1300,44,30157,12,617,132,214
20250624T1300,13,30201,9,621,80,190
20250624T1300,13,30215,8,508,65,155
20250624T1330,44,30128,21,1171,146,654
20250624T1330,44,30143,18,1024,128,572
20250624T1330,44,30157,13,732,91,409
20250624T1330,13,30201,12,768,76,397
20250624T1330,13,30215,10,629,63,324
20250624T1400,44,30128,27,1518,182,704
20250624T1400,44,30143,23,1328,159,616
20250624T1400,44,30157,17,949,114,440
20250624T1400,13,30201,12,818,74,343
20250624T1400,13,30215,10,669,61,281
20250624T1430,44,30128,22,1611,127,647
20250624T1430,44,30143,19,1409,111,566
20250624T1430,44,30157,14,1007,79,404
20250624T1430,13,30201,13,606,49,263
20250624T1430,13,30215,11,495,40,215
20250624T1500,44,30128,17,1195,230,488
20250624T1500,44,30143,15,1046,201,427
20250624T1500,44,30157,11,747,144,305
20250624T1500,13,30201,11,541,0,295
20250624T1500,13,30215,9,442,0,241
20250624T1530,44,30128,16,1237,123,262
20250624T1530,44,30143,14,1083,108,229
20250624T1530,44,30157,10,773,77,164
20250624T1530,13,30201,10,669,106,228
20250624T1530,13,30215,8,547,87,186
20250624T1600,44,30128,14,546,143,263
20250624T1600,44,30143,12,477,125,230
20250624T1600,44,30157,8,341,89,164
20250624T1600,13,30201,10,615,75,285
20250624T1600,13,30215,8,504,61,234
20250624T1630,44,30128,9,454,79,223
20250624T1630,44,30143,8,397,69,195
20250624T1630,44,30157,6,284,49,139
20250624T1630,13,30201,6,371,52,165
20250624T1630,13,30215,5,303,43,135
20250624T1700,44,30128,9,622,86,213
20250624T1700,44,30143,8,544,76,187
20250624T1700,44,30157,6,388,54,133
20250624T1700,13,30201,6,431,44,172
20250624T1700,13,30215,5,352,36,141
20250624T1730,44,30128,4,256,46,115
20250624T1730,44,30143,4,224,40,101
20250624T1730,44,30157,3,160,29,72
20250624T1730,13,30201,3,139,26,56
20250624T1730,13,30215,3,113,22,46
