INTERVAL_START,split,logid,acdcalls,acdtime,holdtime,acwtime
20250625T0800,44,30128,8,660,18,210
20250625T0800,44,30143,7,577,16,184
20250625T0800,44,30157,5,412,12,132
20250625T0800,13,30201,7,370,42,100
20250625T0800,13,30215,5,302,34,82
20250625T0830,44,30128,12,818,56,322
20250625T0830,44,30143,11,716,49,281
20250625T0830,44,30157,8,511,35,201
20250625T0830,13,30201,9,569,139,232
20250625T0830,13,30215,8,466,113,190
20250625T0900,44,30128,23,1374,105,684
20250625T0900,44,30143,20,1202,92,599
20250625T0900,44,30157,14,858,66,428
20250625T0900,13,30201,10,750,15,218
20250625T0900,13,30215,9,613,12,179
20250625T0930,44,30128,20,1172,94,432
20250625T0930,44,30143,18,1026,82,378
20250625T0930,44,30157,12,733,58,270
20250625T0930,13,30201,12,870,86,237
20250625T0930,13,30215,9,711,71,194
20250625T1000,44,30128,21,1746,170,561
20250625T1000,44,30143,19,1527,148,491
20250625T1000,44,30157,13,1091,106,350
20250625T1000,13,30201,13,778,123,343
20250625T1000,13,30215,10,636,101,281
20250625T1030,44,30128,22,1579,173,439
20250625T1030,44,30143,20,1382,152,384
20250625T1030,44,30157,14,987,108,274
20250625T1030,13,30201,12,669,65,416
20250625T1030,13,30215,9,547,53,340
20250625T1100,44,30128,23,1242,147,742
20250625T1100,44,30143,20,1086,128,650
20250625T1100,44,30157,14,776,92,464
20250625T1100,13,30201,12,775,94,249
20250625T1100,13,30215,9,634,77,204
20250625T1130,44,30128,23,1921,74,677
20250625T1130,44,30143,20,1681,65,592
20250625T1130,44,30157,14,1200,46,423
20250625T1130,13,30201,12,568,117,262
20250625T1130,13,30215,9,465,95,215
20250625T1200,44,30128,18,894,117,536
20250625T1200,44,30143,16,782,103,469
20250625T1200,44,30157,12,558,73,335
20250625T1200,13,30201,9,508,89,187
20250625T1200,13,30215,7,416,72,153
20250625T1230,44,30128,15,876,223,345
20250625T1230,44,30143,13,766,195,302
20250625T1230,44,30157,9,548,139,216
20250625T1230,13,30201,7,496,32,189
20250625T1230,13,30215,6,405,26,155
20250625T1300,44,30128,20,1405,107,716
20250625T1300,44,30143,18,1230,93,626
20250625T1300,44,30157,12,878,67,447
20250625T1300,13,30201,10,684,75,240
20250625T1300,13,30215,8,559,61,196
20250625T1330,44,30128,18,858,89,464
20250625T1330,44,30143,16,751,78,406
20250625T1330,44,30157,11,536,56,290
20250625T1330,13,30201,9,797,35,207
20250625T1330,13,30215,8,652,28,170
20250625T1400,44,30128,24,1669,290,466
20250625T1400,44,30143,21,1461,254,407
20250625T1400,44,30157,15,1043,181,291
20250625T1400,13,30201,10,460,101,296
20250625T1400,13,30215,8,377,83,243
20250625T1430,44,30128,21,1224,197,554
20250625T1430,44,30143,19,1071,172,484
20250625T1430,44,30157,13,765,123,346
20250625T1430,13,30201,13,792,74,302
20250625T1430,13,30215,10,648,60,247
20250625T1500,44,30128,20,1106,79,287
20250625T1500,44,30143,17,968,69,251
20250625T1500,44,30157,12,692,49,179
20250625T1500,13,30201,12,887,112,274
20250625T1500,13,30215,9,725,91,224
20250625T1530,44,30128,16,1052,109,422
20250625T1530,44,30143,14,921,95,369
20250625T1530,44,30157,10,658,68,264
20250625T1530,13,30201,11,804,96,365
20250625T1530,13,30215,9,658,79,298
20250625T1600,44,30128,14,802,91,404
20250625T1600,44,30143,12,702,79,354
20250625T1600,44,30157,9,502,57,252
20250625T1600,13,30201,10,659,36,250
20250625T1600,13,30215,8,540,29,205
20250625T1630,44,30128,10,485,70,130
20250625T1630,44,30143,9,425,61,114
20250625T1630,44,30157,6,303,44,82
20250625T1630,13,30201,7,295,76,238
20250625T1630,13,30215,6,242,63,194
20250625T1700,44,30128,8,552,40,202
20250625T1700,44,30143,7,483,35,177
20250625T1700,44,30157,5,345,25,126
20250625T1700,13,30201,7,445,31,153
20250625T1700,13,30215,5,364,26,126
20250625T1730,44,30128,4,230,30,154
20250625T1730,44,30143,4,202,26,135
20250625T1730,44,30157,3,144,19,96
20250625T1730,13,30201,3,201,34,81
20250625T1730,13,30215,3,164,28,67
