INTERVAL_START,split,acdcalls,acceptable,abncalls,slvlabns,acdtime,holdtime,acwtime,anstime,contactsactive
20250606T0800,44,17,16,0,0,1113,248,387,185,0
20250606T0800,13,8,8,0,0,285,45,188,80,0
20250606T0830,44,33,30,0,0,2688,153,793,112,0
20250606T0830,13,16,15,0,0,828,162,473,125,0
20250606T0900,44,43,39,0,0,3010,238,1368,160,0
20250606T0900,13,17,16,0,0,737,147,380,96,0
20250606T0930,44,49,45,1,1,2547,600,1588,284,0
20250606T0930,13,21,19,0,0,1470,292,431,97,0
20250606T1000,44,53,48,1,1,2932,729,1151,463,0
20250606T1000,13,21,19,1,1,1290,87,390,253,0
20250606T1030,44,51,46,0,0,3119,659,1314,354,0
20250606T1030,13,21,19,0,0,1423,253,480,197,0
20250606T1100,44,54,49,0,0,3755,799,650,444,0
20250606T1100,13,20,18,1,1,1184,185,641,150,0
20250606T1130,44,49,45,0,0,3208,544,1216,644,0
20250606T1130,13,15,14,0,0,1430,77,379,100,0
20250606T1200,44,35,32,0,0,2165,309,832,231,0
20250606T1200,13,14,13,1,1,822,89,205,119,0
20250606T1230,44,30,27,0,0,1852,186,672,136,0
20250606T1230,13,13,12,0,0,824,123,442,72,0
20250606T1300,44,39,36,0,0,3164,402,1139,274,0
20250606T1300,13,13,12,0,0,1039,30,189,79,0
20250606T1330,44,45,41,0,0,3277,470,1179,221,0
20250606T1330,13,18,17,0,0,1059,182,545,96,0
20250606T1400,44,56,51,1,1,4185,227,1798,434,0
20250606T1400,13,22,20,1,1,1688,175,707,150,0
20250606T1430,44,44,40,2,1,3131,101,1140,385,0
20250606T1430,13,19,18,0,0,1006,225,515,41,0
20250606T1500,44,41,37,0,0,2764,485,934,387,0
20250606T1500,13,20,18,0,0,1221,166,577,137,0
20250606T1530,44,32,29,0,0,1353,301,861,260,0
20250606T1530,13,17,16,0,0,1008,109,355,153,0
20250606T1600,44,32,29,1,1,2037,88,861,282,0
20250606T1600,13,17,16,0,0,859,83,457,213,0
20250606T1630,44,22,20,0,0,1501,134,663,138,0
20250606T1630,13,14,13,0,0,819,85,377,85,0
20250606T1700,44,15,14,0,0,935,86,335,112,0
20250606T1700,13,10,9,0,0,501,74,176,90,0
20250606T1730,44,8,8,0,0,596,115,217,73,0
20250606T1730,13,5,5,0,0,242,65,111,35,0
