INTERVAL_START,split,logid,acdcalls,acdtime,holdtime,acwtime
20250606T0800,44,30128,7,445,99,155
20250606T0800,44,30143,6,390,87,135
20250606T0800,44,30157,4,278,62,97
20250606T0800,13,30201,4,157,25,103
20250606T0800,13,30215,4,128,20,85
20250606T0830,44,30128,13,1075,61,317
20250606T0830,44,30143,12,941,54,278
20250606T0830,44,30157,8,672,38,198
20250606T0830,13,30201,9,455,89,260
20250606T0830,13,30215,7,373,73,213
20250606T0900,44,30128,17,1204,95,547
20250606T0900,44,30143,15,1054,83,479
20250606T0900,44,30157,11,752,60,342
20250606T0900,13,30201,9,405,81,209
20250606T0900,13,30215,8,332,66,171
20250606T0930,44,30128,20,1019,240,635
20250606T0930,44,30143,17,891,210,556
20250606T0930,44,30157,12,637,150,397
20250606T0930,13,30201,12,809,161,237
20250606T0930,13,30215,9,662,131,194
20250606T1000,44,30128,21,1173,292,460
20250606T1000,44,30143,19,1026,255,403
20250606T1000,44,30157,13,733,182,288
20250606T1000,13,30201,12,710,48,215
20250606T1000,13,30215,9,580,39,176
20250606T1030,44,30128,20,1248,264,526
20250606T1030,44,30143,18,1092,231,460
20250606T1030,44,30157,13,780,165,328
20250606T1030,13,30201,12,783,139,264
20250606T1030,13,30215,9,640,114,216
20250606T1100,44,30128,22,1502,320,260
20250606T1100,44,30143,19,1314,280,227
20250606T1100,44,30157,14,939,200,162
20250606T1100,13,30201,11,651,102,353
20250606T1100,13,30215,9,533,83,288
20250606T1130,44,30128,20,1283,218,486
20250606T1130,44,30143,17,1123,190,426
20250606T1130,44,30157,12,802,136,304
20250606T1130,13,30201,8,787,42,208
20250606T1130,13,30215,7,644,35,171
20250606T1200,44,30128,14,866,124,333
20250606T1200,44,30143,12,758,108,291
20250606T1200,44,30157,9,541,77,208
20250606T1200,13,30201,8,452,49,113
20250606T1200,13,30215,6,370,40,92
20250606T1230,44,30128,12,741,74,269
20250606T1230,44,30143,10,648,65,235
20250606T1230,44,30157,8,463,46,168
20250606T1230,13,30201,7,453,68,243
20250606T1230,13,30215,6,371,55,199
20250606T1300,44,30128,16,1266,161,456
20250606T1300,44,30143,14,1107,141,399
20250606T1300,44,30157,10,791,100,285
20250606T1300,13,30201,7,571,16,104
20250606T1300,13,30215,6,468,14,85
20250606T1330,44,30128,18,1311,188,472
20250606T1330,44,30143,16,1147,164,413
20250606T1330,44,30157,11,819,118,295
20250606T1330,13,30201,10,582,100,300
20250606T1330,13,30215,8,477,82,245
20250606T1400,44,30128,22,1674,91,719
20250606T1400,44,30143,20,1465,79,629
20250606T1400,44,30157,14,1046,57,450
20250606T1400,13,30201,12,928,96,389
20250606T1400,13,30215,10,760,79,318
20250606T1430,44,30128,18,1252,40,456
20250606T1430,44,30143,15,1096,35,399
20250606T1430,44,30157,11,783,25,285
20250606T1430,13,30201,10,553,124,283
20250606T1430,13,30215,9,453,101,232
20250606T1500,44,30128,16,1106,194,374
20250606T1500,44,30143,14,967,170,327
20250606T1500,44,30157,10,691,121,234
20250606T1500,13,30201,11,672,91,317
20250606T1500,13,30215,9,549,75,260
20250606T1530,44,30128,13,541,120,344
20250606T1530,44,30143,11,474,105,301
20250606T1530,44,30157,8,338,75,215
20250606T1530,13,30201,9,554,60,195
20250606T1530,13,30215,8,454,49,160
20250606T1600,44,30128,13,815,35,344
20250606T1600,44,30143,11,713,31,301
20250606T1600,44,30157,8,509,22,215
20250606T1600,13,30201,9,472,46,251
20250606T1600,13,30215,8,387,37,206
20250606T1630,44,30128,9,600,54,265
20250606T1630,44,30143,8,525,47,232
20250606T1630,44,30157,6,375,34,166
20250606T1630,13,30201,8,450,47,207
20250606T1630,13,30215,6,369,38,170
20250606T1700,44,30128,6,374,34,134
20250606T1700,44,30143,5,327,30,117
20250606T1700,44,30157,4,234,22,84
20250606T1700,13,30201,6,276,41,97
20250606T1700,13,30215,4,225,33,79
20250606T1730,44,30128,3,238,46,87
20250606T1730,44,30143,3,209,40,76
20250606T1730,44,30157,2,149,29,54
20250606T1730,13,30201,3,133,36,61
20250606T1730,13,30215,2,109,29,50
