INTERVAL_START,split,acdcalls,acceptable,abncalls,slvlabns,acdtime,holdtime,acwtime,anstime,contactsactive
20250616T0800,44,22,20,0,0,1529,147,518,205,0
20250616T0800,13,12,11,0,0,524,132,294,87,0
20250616T0830,44,36,33,2,1,2422,481,833,328,0
20250616T0830,13,18,17,0,0,1000,147,302,98,0
20250616T0900,44,48,44,0,0,2817,262,892,311,0
20250616T0900,13,19,18,1,1,1366,234,570,153,0
20250616T0930,44,58,53,1,1,3933,422,1074,445,0
20250616T0930,13,23,21,0,0,1591,275,521,210,0
20250616T1000,44,64,58,2,1,5272,689,1694,346,0
20250616T1000,13,22,20,0,0,1201,147,579,249,0
20250616T1030,44,50,45,2,1,3250,251,1275,383,0
20250616T1030,13,20,18,0,0,1099,144,576,189,0
20250616T1100,44,69,63,1,1,3266,672,1455,564,0
20250616T1100,13,22,20,0,0,1181,137,423,135,0
20250616T1130,44,58,53,0,0,3925,476,1688,465,0
20250616T1130,13,18,17,0,0,989,136,628,156,0
20250616T1200,44,49,45,2,1,2021,398,1527,419,0
20250616T1200,13,17,16,0,0,972,117,498,157,0
20250616T1230,44,41,37,2,1,2382,518,594,351,0
20250616T1230,13,14,13,0,0,1061,83,331,125,0
20250616T1300,44,47,43,0,0,2172,300,1468,474,0
20250616T1300,13,15,14,1,1,1033,222,454,79,0
20250616T1330,44,59,54,3,1,2228,360,1121,441,0
20250616T1330,13,19,18,0,0,1051,141,576,141,0
20250616T1400,44,59,54,0,0,3642,510,1712,370,0
20250616T1400,13,24,22,0,0,1288,72,607,158,0
20250616T1430,44,56,51,0,0,4389,335,971,525,0
20250616T1430,13,24,22,1,1,1216,221,727,150,0
20250616T1500,44,42,38,0,0,2386,365,1020,292,0
20250616T1500,13,22,20,0,0,1374,108,488,229,0
20250616T1530,44,47,43,0,0,2634,358,1132,291,0
20250616T1530,13,17,16,0,0,1066,151,637,194,0
20250616T1600,44,40,36,0,0,2179,388,791,392,0
20250616T1600,13,22,20,0,0,1575,129,327,178,0
20250616T1630,44,25,23,1,1,1764,234,630,226,0
20250616T1630,13,14,13,0,0,912,112,453,88,0
20250616T1700,44,22,20,0,0,1083,281,542,151,0
20250616T1700,13,12,11,0,0,739,70,228,116,0
20250616T1730,44,11,10,0,0,616,88,335,134,0
20250616T1730,13,8,8,0,0,422,57,152,59,0
