INTERVAL_START,split,acdcalls,acceptable,abncalls,slvlabns,acdtime,holdtime,acwtime,anstime,contactsactive
20250619T0800,44,20,18,0,0,1299,166,537,163,0
20250619T0800,13,10,9,0,0,569,55,247,58,0
20250619T0830,44,38,35,0,0,2042,281,747,288,0
20250619T0830,13,19,18,1,1,974,207,418,89,0
20250619T0900,44,45,41,0,0,3800,428,931,396,0
20250619T0900,13,21,19,0,0,1384,145,337,157,0
20250619T0930,44,54,49,0,0,3339,19,1177,353,0
20250619T0930,13,23,21,0,0,1968,154,633,265,0
20250619T1000,44,53,48,0,0,2898,759,1199,476,0
20250619T1000,13,25,23,1,1,1556,179,747,180,0
20250619T1030,44,61,55,0,0,2703,440,1336,626,0
20250619T1030,13,20,18,1,1,964,134,513,195,0
20250619T1100,44,57,52,2,1,3773,498,1864,464,0
20250619T1100,13,18,17,1,1,1322,137,502,156,0
20250619T1130,44,55,50,1,1,4067,291,1769,631,0
20250619T1130,13,18,17,0,0,981,117,384,185,0
20250619T1200,44,40,36,0,0,2771,273,1258,305,0
20250619T1200,13,16,15,0,0,739,126,457,144,0
20250619T1230,44,33,30,0,0,2390,434,866,294,0
20250619T1230,13,13,12,0,0,1063,61,310,133,0
20250619T1300,44,45,41,0,0,2477,288,911,434,0
20250619T1300,13,16,15,0,0,916,0,344,134,0
20250619T1330,44,46,42,0,0,2290,260,1343,308,0
20250619T1330,13,19,18,0,0,1011,137,483,89,0
20250619T1400,44,56,51,1,1,3138,443,1043,454,0
20250619T1400,13,23,21,0,0,1170,265,362,196,0
20250619T1430,44,55,50,2,1,3762,462,1462,449,0
20250619T1430,13,24,22,0,0,1584,161,530,170,0
20250619T1500,44,39,36,1,1,1790,181,1026,228,0
20250619T1500,13,21,19,1,1,1256,223,459,190,0
20250619T1530,44,41,37,0,0,2683,225,834,345,0
20250619T1530,13,21,19,0,0,1361,25,322,129,0
20250619T1600,44,35,32,0,0,1668,295,741,194,0
20250619T1600,13,14,13,0,0,856,174,276,137,0
20250619T1630,44,23,21,0,0,1582,149,577,201,0
20250619T1630,13,16,15,0,0,921,118,403,135,0
20250619T1700,44,23,21,0,0,1609,230,610,289,0
20250619T1700,13,12,11,0,0,730,161,251,47,0
20250619T1730,44,10,9,0,0,554,48,296,93,0
20250619T1730,13,7,7,0,0,305,75,169,62,0
